title,n_2024,n_2026,tfidf_cosine_sim
software engineer,2075,3365,0.9496
data engineer,732,1042,0.9628
systems engineer,724,176,0.9578
devops engineer,278,515,0.9415
machine learning engineer,189,399,0.9005
full stack engineer,154,423,0.8834
embedded software engineer,299,255,0.8935
software developer,323,204,0.9288
test engineer,260,222,0.9623
site reliability engineer,186,255,0.9187
