group,n_postings,unique_titles,unique_per_1k_postings,top10_share,top50_share,hhi
2024_combined,28232,8866,314.04,0.193,0.3738,0.008625
2024_arshkon,5019,2100,418.41,0.2315,0.4359,0.0126
2024_asaniczka,23213,7231,311.51,0.1926,0.3764,0.008227
2026_scraped,35062,13268,378.42,0.2008,0.3051,0.011361
