year,n,junior_n,senior_n,junior_share,senior_share,variant
2024,28232,211,16615,0.0075,0.5885,combined
2026,35062,867,15327,0.0247,0.4371,combined
2024,5019,95,1848,0.0189,0.3682,arshkon_only
2026,35062,867,15327,0.0247,0.4371,arshkon_only
