uid,title,company_name_canonical,period,yoe_extracted,tech_count,scope_count,kitchen_sink_score,aspiration_ratio,yoe_scope_mismatch,credential_impossible,ghost_rank_score
linkedin_li-4394796021,"Software Engineer, New College Grad - 2026, Foster City",Visa,2026-04,,23,6,138,1.3333333333333333,True,False,2.1333333333333333
linkedin_li-4394788567,"Software Engineer, New College Grad - 2026, Atlanta",Visa,2026-04,,23,6,138,1.0,True,False,2.1
asaniczka_dc640a083aab5579,Software Engineer 1 / Early Career,Nutanix,2024-01,18.0,7,0,0,0.0,True,True,2.0
linkedin_li-4343298512,2026 Summer Intern – AI/ML Software Engineer (PhD),General Motors,2026-03,,6,9,54,5.0,True,False,1.891304347826087
linkedin_li-4343437488,2026 Summer Intern – AI/ML Software Engineer (Master's),General Motors,2026-03,,6,8,48,5.0,True,False,1.8478260869565217
linkedin_li-4389605265,Embedded Software Engineer – Intern,"rf IDEAS, Inc",2026-03,,1,4,4,7.0,True,False,1.7289855072463767
linkedin_li-4392375653,2026 Summer Intern - AI/ML Software Engineer (Master's),General Motors,2026-03,,5,9,45,4.0,True,False,1.7260869565217392
linkedin_li-4333169684,Builder - Software Engineer (New Grad),Reevo,2026-03,,5,7,35,2.0,True,False,1.453623188405797
linkedin_li-4386567665,Software Development Engineer I,Optimum,2026-04,1.0,8,6,48,1.0,True,False,1.4478260869565216
linkedin_li-4374687437,"Software Engineer, 3D Modeling",Hover,2026-04,1.0,5,1,5,4.0,True,False,1.436231884057971
linkedin_li-4396361945,2026 AI/ML Intern - Machine Learning Engineer,Adobe,2026-04,,8,4,32,1.0,True,False,1.3318840579710145
linkedin_li-4262545420,Engineer Graduate: (Machine Learning Engineer Graduate - Search E-Commerce - Seattle) - 2026 Start (PhD),TikTok,2026-03,,2,2,4,3.0,True,False,1.3289855072463768
linkedin_li-4343287947,2026 Summer Intern – Machine Learning Systems Engineer – Autonomous Driving (Master's Degree),General Motors,2026-03,,6,5,30,1.0,True,False,1.317391304347826
linkedin_li-4400357910,Software Engineer,Global Lehman Consulting,2026-04,1.0,5,3,15,2.0,True,False,1.308695652173913
linkedin_li-4381112013,Test Engineer,Gather AI,2026-03,1.0,5,1,5,2.0,True,False,1.236231884057971
linkedin_li-4387538436,Software Engineer,Jobs via Dice,2026-03,2.0,7,4,28,0.16666666666666666,True,False,1.2195652173913043
linkedin_li-4249357396,"Software Engineer, Product Frontend (2-8 YOE)",Airtable,2026-03,2.0,6,5,30,0.0,True,False,1.2173913043478262
linkedin_li-4391543525,Data Engineer,City of Oxnard,2026-03,5.0,7,4,28,0.06666666666666667,True,False,1.2095652173913043
linkedin_li-4397373047,"Software Engineer, Bridge",Stripe,2026-04,5.0,4,2,8,1.5,True,False,1.2079710144927536
linkedin_li-4400603157,Junior Systems Engineer,JRC Integrated Systems,2026-04,2.0,0,5,0,2.0,True,False,1.2
