period_year,is_aggregator,kitchen_sink_score,scope_count,aspiration_ratio,aspiration_heavy,yoe_scope_mismatch,credential_impossible,tech_count,n
2024,False,4.6091,0.9169,0.6079,0.1359,0.001,0.0001,4.5711,18578
2024,True,3.0435,0.6151,0.5957,0.0919,0.0006,0.0,5.8524,3102
2026,False,10.9902,1.6872,1.0178,0.2601,0.0036,0.0,6.0364,10343
2026,True,8.6572,1.2166,0.915,0.2521,0.0019,0.0,6.4869,2138
