period,ai_mentions_total,ai_asp_window_share,ai_firm_window_share,ai_neutral_share,non_ai_mentions_total,non_ai_asp_window_share,non_ai_firm_window_share,non_ai_neutral_share,ai_aspiration_lift
2024,12512,0.12891624040920716,0.09910485933503836,0.7719789002557544,122979,0.19764350010977483,0.16345880190926906,0.6388976979809561,-0.06872725970056767
2026,43481,0.15153745314045214,0.07474529104666407,0.7737172558128838,83718,0.213454693136482,0.1026422035882367,0.6839031032752813,-0.061917239996029855
