period,marker,count,share,variant
2024-01,junior,69,0.0029724723215439623,all
2024-01,associate,141,0.006074182570111575,all
2024-01,senior,8860,0.38168267780984794,all
2024-01,staff,815,0.03510963684142506,all
2024-01,principal,1225,0.05277215353465731,all
2024-01,lead,2599,0.11196312411148925,all
2024-01,director,20,0.0008615861801576703,all
2024-01,architect,390,0.01680093051307457,all
2024-01,founding,348,0.014991599534743463,all
2024-01,intern,22,0.0009477447981734373,all
2024-01,entry,7,0.0003015551630551846,all
2024-01,ii_iii,1251,0.05389221556886228,all
2024-01,junior,58,0.0034374444378593018,no_aggregator
2024-01,associate,129,0.007645350560066378,no_aggregator
2024-01,senior,5479,0.3247199668108813,no_aggregator
2024-01,staff,490,0.029040478871569964,no_aggregator
2024-01,principal,905,0.05363598648728738,no_aggregator
2024-01,lead,1325,0.07852782552006164,no_aggregator
2024-01,director,3,0.00017779885023410183,no_aggregator
2024-01,architect,337,0.019972737509630772,no_aggregator
2024-01,founding,66,0.00391157470515024,no_aggregator
2024-01,intern,21,0.0012445919516387127,no_aggregator
2024-01,entry,7,0.00041486398387957093,no_aggregator
2024-01,ii_iii,1031,0.06110353819711966,no_aggregator
2024-04,junior,39,0.007770472205618649,all
2024-04,associate,34,0.006774257820282925,all
2024-04,senior,1099,0.21896792189679218,all
2024-04,staff,122,0.02430763100219167,all
2024-04,principal,134,0.026698545526997408,all
2024-04,lead,310,0.0617652918908149,all
2024-04,director,6,0.001195457262402869,all
2024-04,architect,87,0.017334130304841603,all
2024-04,founding,4,0.0007969715082685794,all
2024-04,intern,42,0.008368200836820083,all
2024-04,entry,5,0.0009962143853357243,all
2024-04,ii_iii,172,0.03426977485554891,all
2024-04,junior,36,0.008130081300813009,no_aggregator
2024-04,associate,34,0.0076784101174345075,no_aggregator
2024-04,senior,1026,0.23170731707317074,no_aggregator
2024-04,staff,116,0.026196928635953028,no_aggregator
2024-04,principal,128,0.028906955736224028,no_aggregator
2024-04,lead,296,0.06684733514001806,no_aggregator
2024-04,director,6,0.0013550135501355014,no_aggregator
2024-04,architect,81,0.018292682926829267,no_aggregator
2024-04,founding,4,0.0009033423667570009,no_aggregator
2024-04,intern,41,0.009259259259259259,no_aggregator
2024-04,entry,4,0.0009033423667570009,no_aggregator
2024-04,ii_iii,159,0.03590785907859079,no_aggregator
2026-03,junior,158,0.006557377049180328,all
2026-03,associate,286,0.011869682506744137,all
2026-03,senior,5858,0.24312097945631875,all
2026-03,staff,1599,0.0663623158331604,all
2026-03,principal,779,0.03233035899564225,all
2026-03,lead,1604,0.0665698277650965,all
2026-03,director,68,0.002822162274330774,all
2026-03,architect,66,0.0027391575015563393,all
2026-03,founding,161,0.00668188420834198,all
2026-03,intern,290,0.012035692052293007,all
2026-03,entry,91,0.003776717161236771,all
2026-03,ii_iii,1452,0.060261465034239466,all
2026-03,junior,116,0.005637088152395763,no_aggregator
2026-03,associate,259,0.01258625716784916,no_aggregator
2026-03,senior,5260,0.25561279035863543,no_aggregator
2026-03,staff,1538,0.07474001360676451,no_aggregator
2026-03,principal,710,0.03450286713966372,no_aggregator
2026-03,lead,1434,0.06968607250461659,no_aggregator
2026-03,director,64,0.0031101176013218,no_aggregator
2026-03,architect,52,0.0025269705510739624,no_aggregator
2026-03,founding,145,0.007046360190494703,no_aggregator
2026-03,intern,248,0.012051705705121974,no_aggregator
2026-03,entry,52,0.0025269705510739624,no_aggregator
2026-03,ii_iii,1321,0.06419477111478278,no_aggregator
