source,source_platform,n_total,n_swe,n_adjacent,n_control,n_aggregator,n_english,n_date_ok
kaggle_arshkon,linkedin,110360,4691.0,2396.0,8614.0,4430.0,110360.0,110360.0
kaggle_asaniczka,linkedin,847526,18129.0,9420.0,105341.0,50815.0,847526.0,847526.0
scraped,indeed,123606,10464.0,2993.0,24984.0,590.0,123606.0,123606.0
scraped,linkedin,228395,37152.0,10463.0,37312.0,23326.0,228395.0,228395.0
