title_normalized,n,spec,source,unique_to_source
"software development engineer, aws marketplace",5,linkedin_all,kaggle_arshkon,True
data engineer- aws (python/ airflow/ rds),4,linkedin_all,kaggle_arshkon,True
python- data analytics - software engineer,4,linkedin_all,kaggle_arshkon,True
software dev. engineer,4,linkedin_all,kaggle_arshkon,True
"software engineer, data streaming",4,linkedin_all,kaggle_arshkon,True
computer vision/ machine learning engineer,3,linkedin_all,kaggle_arshkon,True
engineer – it infrastructure,3,linkedin_all,kaggle_arshkon,True
"full stack engineer (javascript, typescript, angular, java, aws)",3,linkedin_all,kaggle_arshkon,True
geographic information systems engineer,3,linkedin_all,kaggle_arshkon,True
hp nonstop software engineer,3,linkedin_all,kaggle_arshkon,True
hybrid java backend developer,3,linkedin_all,kaggle_arshkon,True
infrastructure,3,linkedin_all,kaggle_arshkon,True
middleware engineer with devops,3,linkedin_all,kaggle_arshkon,True
mission software engineer - fury / cca (generalist),3,linkedin_all,kaggle_arshkon,True
python perl developer,3,linkedin_all,kaggle_arshkon,True
salesforce developer (clearance eligible),3,linkedin_all,kaggle_arshkon,True
"software engineer (c#/.net), services",3,linkedin_all,kaggle_arshkon,True
software engineer (mobile sdk),3,linkedin_all,kaggle_arshkon,True
"software engineer, cash commerce",3,linkedin_all,kaggle_arshkon,True
software engineer-(mainframe/ sql/ etl),3,linkedin_all,kaggle_arshkon,True
", software engineer, full stack",2,linkedin_all,kaggle_arshkon,True
. devops architect,2,linkedin_all,kaggle_arshkon,True
. full stack engineer sitecore - kohler ventures,2,linkedin_all,kaggle_arshkon,True
. software engineer - (full stack),2,linkedin_all,kaggle_arshkon,True
.net software engineer - credit card operations,2,linkedin_all,kaggle_arshkon,True
"manager, devops",62,linkedin_all,kaggle_asaniczka,True
"authentication services platform engineer (active directory, sso, aws)",41,linkedin_all,kaggle_asaniczka,True
engineer- generative ai engineering (remote-eligible),27,linkedin_all,kaggle_asaniczka,True
"software engineer, full stack (reactjs, nodejs, python, aws)",19,linkedin_all,kaggle_asaniczka,True
"software engineer, full stack (java/aws)",18,linkedin_all,kaggle_asaniczka,True
"software engineer, back end (go, java)",15,linkedin_all,kaggle_asaniczka,True
"software engineer, backend (golang)",15,linkedin_all,kaggle_asaniczka,True
software engineer (full stack/back end),12,linkedin_all,kaggle_asaniczka,True
"software engineer, backend (scala, spark)",12,linkedin_all,kaggle_asaniczka,True
application development manager,11,linkedin_all,kaggle_asaniczka,True
"software engineer, full stack (java, python)",11,linkedin_all,kaggle_asaniczka,True
"software engineer, full stack(javascript/java/aws)",10,linkedin_all,kaggle_asaniczka,True
technical systems engineer (electronic security),10,linkedin_all,kaggle_asaniczka,True
. systems engineer with security clearance,9,linkedin_all,kaggle_asaniczka,True
"software engineer, full stack (javascript, aws)",9,linkedin_all,kaggle_asaniczka,True
systems engineer (onsite) with security clearance,9,linkedin_all,kaggle_asaniczka,True
. net developer,8,linkedin_all,kaggle_asaniczka,True
application engineer (multiple openings) - ihm,8,linkedin_all,kaggle_asaniczka,True
enterprise technology - system engineer,8,linkedin_all,kaggle_asaniczka,True
java software engineer (onsite) with security clearance,8,linkedin_all,kaggle_asaniczka,True
"software engineer, back end (java)",8,linkedin_all,kaggle_asaniczka,True
"software engineer, full stack (go, java, angular)",8,linkedin_all,kaggle_asaniczka,True
platform engineer (remote-eligible),7,linkedin_all,kaggle_asaniczka,True
software architect with security clearance,7,linkedin_all,kaggle_asaniczka,True
software engineer (c/c++),7,linkedin_all,kaggle_asaniczka,True
mobile apps test automation engineer,30,linkedin_all,scraped,True
ai automation engineer,17,linkedin_all,scraped,True
ai solutions engineer,17,linkedin_all,scraped,True
. ai engineer,15,linkedin_all,scraped,True
software engineer (contract),12,linkedin_all,scraped,True
ai / ml engineer,11,linkedin_all,scraped,True
ai engineer intern,9,linkedin_all,scraped,True
"full stack software engineer,",9,linkedin_all,scraped,True
mid-level software engineer,9,linkedin_all,scraped,True
physical security systems engineer,9,linkedin_all,scraped,True
remote software engineer – llm evaluation (us-based),9,linkedin_all,scraped,True
ai ml engineer,8,linkedin_all,scraped,True
"director, full-stack engineer",8,linkedin_all,scraped,True
engineer embedded software,8,linkedin_all,scraped,True
php software engineer,8,linkedin_all,scraped,True
remote software engineer – ai research & evaluation (us-based),8,linkedin_all,scraped,True
research software engineer,8,linkedin_all,scraped,True
software engineer (datagrid),8,linkedin_all,scraped,True
software engineer - contingent,8,linkedin_all,scraped,True
"software engineer, ai/ml",8,linkedin_all,scraped,True
"data engineer (aws, azure, gcp)",7,linkedin_all,scraped,True
java react developer,7,linkedin_all,scraped,True
r&d software engineer,7,linkedin_all,scraped,True
"software engineer , full stack",7,linkedin_all,scraped,True
software engineer - cloud infrastructure and devops,7,linkedin_all,scraped,True
"software development engineer, aws marketplace",5,linkedin_no_aggregators,kaggle_arshkon,True
adobe developer,4,linkedin_no_aggregators,kaggle_arshkon,True
data engineer- aws (python/ airflow/ rds),4,linkedin_no_aggregators,kaggle_arshkon,True
python- data analytics - software engineer,4,linkedin_no_aggregators,kaggle_arshkon,True
software dev. engineer,4,linkedin_no_aggregators,kaggle_arshkon,True
"software engineer, data streaming",4,linkedin_no_aggregators,kaggle_arshkon,True
computer vision/ machine learning engineer,3,linkedin_no_aggregators,kaggle_arshkon,True
"full stack engineer (javascript, typescript, angular, java, aws)",3,linkedin_no_aggregators,kaggle_arshkon,True
geographic information systems engineer,3,linkedin_no_aggregators,kaggle_arshkon,True
hybrid java backend developer,3,linkedin_no_aggregators,kaggle_arshkon,True
infrastructure,3,linkedin_no_aggregators,kaggle_arshkon,True
middleware engineer with devops,3,linkedin_no_aggregators,kaggle_arshkon,True
mission software engineer - fury / cca (generalist),3,linkedin_no_aggregators,kaggle_arshkon,True
python perl developer,3,linkedin_no_aggregators,kaggle_arshkon,True
salesforce developer (clearance eligible),3,linkedin_no_aggregators,kaggle_arshkon,True
"software engineer (c#/.net), services",3,linkedin_no_aggregators,kaggle_arshkon,True
software engineer (mobile sdk),3,linkedin_no_aggregators,kaggle_arshkon,True
"software engineer, cash commerce",3,linkedin_no_aggregators,kaggle_arshkon,True
software engineer-(mainframe/ sql/ etl),3,linkedin_no_aggregators,kaggle_arshkon,True
", software engineer, full stack",2,linkedin_no_aggregators,kaggle_arshkon,True
. full stack engineer sitecore - kohler ventures,2,linkedin_no_aggregators,kaggle_arshkon,True
