title_normalized,n_arshkon,n_scraped,native_tv_distance,dominant_native_arshkon,dominant_native_scraped,max_abs_cell_yoe_le2_delta
developer,33,87,0.6541274817136886,entry,mid-senior,0.0815217391304348
systems engineer,48,172,0.2621124031007752,mid-senior,mid-senior,0.25
quality assurance engineer,17,125,0.24658823529411766,mid-senior,mid-senior,0.5
java developer,46,154,0.23150762281197063,mid-senior,mid-senior,0.1209150326797386
full stack developer,17,204,0.23039215686274508,mid-senior,mid-senior,0.1111111111111111
test engineer,27,251,0.23004279179577986,mid-senior,mid-senior,0.1666666666666667
system engineer,42,138,0.19047619047619047,mid-senior,mid-senior,0.3333333333333333
cloud engineer,28,211,0.18398781313473253,mid-senior,mid-senior,0.2222222222222222
android developer,10,125,0.14,mid-senior,mid-senior,0.1111111111111111
software development engineer,29,193,0.12899767732713951,mid-senior,mid-senior,0.1666666666666666
software developer,32,216,0.11689814814814815,mid-senior,mid-senior,0.24479166666666669
embedded software engineer,31,275,0.11530791788856305,mid-senior,mid-senior,0.2894736842105263
machine learning engineer,33,340,0.11292335115864532,mid-senior,mid-senior,0.4166666666666667
site reliability engineer,35,231,0.10735930735930733,mid-senior,mid-senior,0.2352941176470588
data engineer,115,1075,0.10370070778564208,mid-senior,mid-senior,0.1637931034482759
full stack engineer,39,338,0.1035502958579882,mid-senior,mid-senior,0.2352941176470588
java software engineer,16,119,0.07825630252100838,mid-senior,mid-senior,0.4285714285714285
ai engineer,5,326,0.058895705521472386,mid-senior,mid-senior,0.2391304347826087
devops engineer,63,531,0.03497444175410276,mid-senior,mid-senior,0.2054794520547945
software engineer,316,3019,0.016152972104938743,mid-senior,mid-senior,0.0543900543900544
