source,source_platform,period,n,min_date,max_date,min_scrape,max_scrape
kaggle_arshkon,linkedin,2024-04,110619,2024-04-05,2024-04-20,,
kaggle_asaniczka,linkedin,2024-01,892554,2024-01-12,2024-01-17,,
scraped,linkedin,2026-03,121602,2026-03-19,2026-03-30,2026-03-20,2026-03-31
scraped,linkedin,2026-04,159406,2026-03-31,2026-04-17,2026-04-01,2026-04-18
