column,column_type,source,subset,n_rows,n_null,non_null_rate,n_distinct
uid,VARCHAR,kaggle_arshkon,all,110619,0,1.0,110619
uid,VARCHAR,kaggle_arshkon,swe,4693,0,1.0,4693
uid,VARCHAR,kaggle_arshkon,swe_linkedin_default,4691,0,1.0,4691
uid,VARCHAR,kaggle_asaniczka,all,892554,0,1.0,892554
uid,VARCHAR,kaggle_asaniczka,swe,19029,0,1.0,19029
uid,VARCHAR,kaggle_asaniczka,swe_linkedin_default,18129,0,1.0,18129
uid,VARCHAR,scraped,all,449702,0,1.0,449702
uid,VARCHAR,scraped,swe,59592,0,1.0,59592
uid,VARCHAR,scraped,swe_linkedin_default,45317,0,1.0,45317
job_id,VARCHAR,kaggle_arshkon,all,110619,0,1.0,110619
job_id,VARCHAR,kaggle_arshkon,swe,4693,0,1.0,4693
job_id,VARCHAR,kaggle_arshkon,swe_linkedin_default,4691,0,1.0,4691
job_id,VARCHAR,kaggle_asaniczka,all,892554,0,1.0,892554
job_id,VARCHAR,kaggle_asaniczka,swe,19029,0,1.0,19029
job_id,VARCHAR,kaggle_asaniczka,swe_linkedin_default,18129,0,1.0,18129
job_id,VARCHAR,scraped,all,449702,0,1.0,449702
job_id,VARCHAR,scraped,swe,59592,0,1.0,59592
job_id,VARCHAR,scraped,swe_linkedin_default,45317,0,1.0,45317
source,VARCHAR,kaggle_arshkon,all,110619,0,1.0,1
source,VARCHAR,kaggle_arshkon,swe,4693,0,1.0,1
source,VARCHAR,kaggle_arshkon,swe_linkedin_default,4691,0,1.0,1
source,VARCHAR,kaggle_asaniczka,all,892554,0,1.0,1
source,VARCHAR,kaggle_asaniczka,swe,19029,0,1.0,1
source,VARCHAR,kaggle_asaniczka,swe_linkedin_default,18129,0,1.0,1
source,VARCHAR,scraped,all,449702,0,1.0,1
source,VARCHAR,scraped,swe,59592,0,1.0,1
source,VARCHAR,scraped,swe_linkedin_default,45317,0,1.0,1
source_platform,VARCHAR,kaggle_arshkon,all,110619,0,1.0,1
source_platform,VARCHAR,kaggle_arshkon,swe,4693,0,1.0,1
source_platform,VARCHAR,kaggle_arshkon,swe_linkedin_default,4691,0,1.0,1
source_platform,VARCHAR,kaggle_asaniczka,all,892554,0,1.0,1
source_platform,VARCHAR,kaggle_asaniczka,swe,19029,0,1.0,1
source_platform,VARCHAR,kaggle_asaniczka,swe_linkedin_default,18129,0,1.0,1
source_platform,VARCHAR,scraped,all,449702,0,1.0,2
source_platform,VARCHAR,scraped,swe,59592,0,1.0,2
source_platform,VARCHAR,scraped,swe_linkedin_default,45317,0,1.0,1
site,VARCHAR,kaggle_arshkon,all,110619,0,1.0,1
site,VARCHAR,kaggle_arshkon,swe,4693,0,1.0,1
site,VARCHAR,kaggle_arshkon,swe_linkedin_default,4691,0,1.0,1
site,VARCHAR,kaggle_asaniczka,all,892554,0,1.0,1
site,VARCHAR,kaggle_asaniczka,swe,19029,0,1.0,1
site,VARCHAR,kaggle_asaniczka,swe_linkedin_default,18129,0,1.0,1
site,VARCHAR,scraped,all,449702,0,1.0,2
site,VARCHAR,scraped,swe,59592,0,1.0,2
site,VARCHAR,scraped,swe_linkedin_default,45317,0,1.0,1
title,VARCHAR,kaggle_arshkon,all,110619,0,1.0,71742
title,VARCHAR,kaggle_arshkon,swe,4693,0,1.0,2578
title,VARCHAR,kaggle_arshkon,swe_linkedin_default,4691,0,1.0,2577
title,VARCHAR,kaggle_asaniczka,all,892554,0,1.0,489287
title,VARCHAR,kaggle_asaniczka,swe,19029,0,1.0,9362
title,VARCHAR,kaggle_asaniczka,swe_linkedin_default,18129,0,1.0,9056
title,VARCHAR,scraped,all,449702,0,1.0,236796
title,VARCHAR,scraped,swe,59592,0,1.0,26649
title,VARCHAR,scraped,swe_linkedin_default,45317,0,1.0,23075
title_normalized,VARCHAR,kaggle_arshkon,all,110619,11,0.999901,67821
title_normalized,VARCHAR,kaggle_arshkon,swe,4693,0,1.0,2162
title_normalized,VARCHAR,kaggle_arshkon,swe_linkedin_default,4691,0,1.0,2162
title_normalized,VARCHAR,kaggle_asaniczka,all,892554,35,0.999961,466246
title_normalized,VARCHAR,kaggle_asaniczka,swe,19029,0,1.0,7840
title_normalized,VARCHAR,kaggle_asaniczka,swe_linkedin_default,18129,0,1.0,7577
title_normalized,VARCHAR,scraped,all,449702,9,0.99998,220328
title_normalized,VARCHAR,scraped,swe,59592,0,1.0,22864
title_normalized,VARCHAR,scraped,swe_linkedin_default,45317,0,1.0,19851
company_name,VARCHAR,kaggle_arshkon,all,110619,1697,0.984659,24423
company_name,VARCHAR,kaggle_arshkon,swe,4693,46,0.990198,2273
