source,source_platform,n_total,n_remote,n_remote_inferred
kaggle_arshkon,linkedin,110619,0.0,0.0
kaggle_asaniczka,linkedin,892554,2549.0,0.0
scraped,indeed,168694,28350.0,1.0
scraped,linkedin,281008,43909.0,0.0
