source,source_platform,n_total,n_swe,n_adjacent,n_control,n_other,n_default_filters,n_swe_default_filters,n_aggregator,n_swe_aggregator
kaggle_arshkon,linkedin,110619,4693.0,2397.0,8616.0,94913.0,110360.0,4691.0,4431.0,430.0
kaggle_asaniczka,linkedin,892554,19029.0,10217.0,108829.0,754479.0,847526.0,18129.0,55087.0,3253.0
scraped,indeed,168694,14249.0,4136.0,33943.0,116366.0,0.0,0.0,817.0,291.0
scraped,linkedin,281008,45343.0,12894.0,46580.0,176191.0,280806.0,45317.0,28712.0,7709.0
