source,work_type,n
kaggle_arshkon,Full-time,88551
kaggle_arshkon,Contract,11273
kaggle_arshkon,Part-time,7992
kaggle_arshkon,Temporary,1008
kaggle_arshkon,Internship,879
kaggle_arshkon,Volunteer,485
kaggle_arshkon,Other,431
kaggle_asaniczka,,892554
scraped,fulltime,231653
scraped,contract,18734
scraped,internship,15697
scraped,parttime,10315
scraped,volunteer,1769
scraped,temporary,1691
scraped,other,1113
scraped,,36
