source,n_total,n_with,n_json_like,n_comma,n_pipe
kaggle_arshkon,110619,2099.0,0.0,728.0,2.0
kaggle_asaniczka,892554,847450.0,1.0,845692.0,0.0
scraped,281008,0.0,0.0,0.0,0.0
