source,seniority_native,n
kaggle_arshkon,mid-senior,36830
kaggle_arshkon,entry,31412
kaggle_arshkon,,27637
kaggle_arshkon,associate,8943
kaggle_arshkon,director,3352
kaggle_arshkon,intern,1321
kaggle_arshkon,executive,1124
kaggle_asaniczka,mid-senior,791461
kaggle_asaniczka,associate,101093
scraped,mid-senior,142865
scraped,entry,75000
scraped,,35061
scraped,associate,13953
scraped,director,6825
scraped,intern,5507
scraped,executive,1797
