source,source_platform,n_total,n_with,n_with_scrape
kaggle_arshkon,linkedin,110619,110619.0,0.0
kaggle_asaniczka,linkedin,892554,892554.0,0.0
scraped,indeed,168694,168694.0,168694.0
scraped,linkedin,281008,3984.0,281008.0
