source,source_platform,is_aggregator,n_total,n_swe,n_adjacent,n_control
kaggle_arshkon,linkedin,False,106188,4263.0,2141.0,8158.0
kaggle_arshkon,linkedin,True,4431,430.0,256.0,458.0
kaggle_asaniczka,linkedin,False,837467,15776.0,8695.0,103782.0
kaggle_asaniczka,linkedin,True,55087,3253.0,1522.0,5047.0
scraped,indeed,False,167877,13958.0,4040.0,33931.0
scraped,indeed,True,817,291.0,96.0,12.0
scraped,linkedin,False,252296,37634.0,10730.0,43064.0
scraped,linkedin,True,28712,7709.0,2164.0,3516.0
