company,n_arshkon,n_scraped,n_total,entry_share_arshkon,entry_share_scraped,entry_share_delta,junior_share_arshkon,junior_share_scraped,junior_share_delta,desc_len_arshkon,desc_len_scraped,desc_len_ratio,ai_arshkon,ai_scraped,ai_delta,unknown_arshkon,unknown_scraped
Capital One,115,47,162,0.09565217391304348,0.02127659574468085,-0.07437557816836263,0.09565217391304348,0.02127659574468085,-0.07437557816836263,5787.0,6158.0,1.064109210298946,0.26956521739130435,0.5106382978723404,0.24107308048103604,0.0,0.0
Google,15,72,87,0.0,0.0,0.0,0.0,0.0,0.0,4546.0,4751.5,1.0452045754509458,1.0,0.9722222222222222,-0.02777777777777779,0.13333333333333333,0.2361111111111111
Deloitte,9,64,73,0.0,0.0,0.0,0.0,0.0,0.0,3405.0,7577.0,2.225256975036711,0.0,1.0,1.0,0.5555555555555556,0.75
JPMorgan Chase & Co.,12,58,70,0.0,0.0,0.0,0.0,0.0,0.0,4725.0,5728.5,1.2123809523809523,0.5,0.7586206896551724,0.2586206896551724,0.5,0.017241379310344827
Amazon,33,32,65,0.0,0.1875,0.1875,0.0,0.1875,0.1875,4008.0,5678.0,1.4166666666666667,0.2727272727272727,0.4375,0.1647727272727273,0.12121212121212122,0.0625
Apex Systems,51,10,61,0.35294117647058826,0.4,0.047058823529411764,0.35294117647058826,0.4,0.047058823529411764,4510.0,7592.0,1.683370288248337,0.0392156862745098,0.4,0.36078431372549025,0.0,0.0
Actalent,22,39,61,0.8181818181818182,0.4358974358974359,-0.38228438228438233,0.8181818181818182,0.4358974358974359,-0.38228438228438233,3610.5,4484.0,1.2419332502423488,0.0,0.05128205128205128,0.05128205128205128,0.0,0.0
Booz Allen Hamilton,9,50,59,0.0,0.0,0.0,0.0,0.0,0.0,6456.0,4990.0,0.7729244114002478,0.3333333333333333,0.46,0.1266666666666667,0.5555555555555556,0.6
Amazon Web Services (AWS),12,43,55,0.0,0.0,0.0,0.0,0.0,0.0,6307.0,7229.0,1.1461867765974314,0.3333333333333333,0.37209302325581395,0.038759689922480633,0.0,0.11627906976744186
General Motors,14,35,49,0.07142857142857142,0.02857142857142857,-0.04285714285714286,0.07142857142857142,0.02857142857142857,-0.04285714285714286,7551.0,7183.0,0.9512647331479275,0.07142857142857142,0.2,0.1285714285714286,0.2857142857142857,0.05714285714285714
Motion Recruitment,35,11,46,0.0,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,1631.0,2296.0,1.407725321888412,0.2,0.2727272727272727,0.0727272727272727,0.0,0.0
TEKsystems,19,26,45,0.8947368421052632,0.15384615384615385,-0.7408906882591093,0.8947368421052632,0.15384615384615385,-0.7408906882591093,2241.0,4662.0,2.0803212851405624,0.05263157894736842,0.46153846153846156,0.40890688259109315,0.0,0.0
Tata Consultancy Services,30,10,40,0.8,0.2,-0.6000000000000001,0.8,0.2,-0.6000000000000001,1060.0,2268.0,2.139622641509434,0.03333333333333333,0.5,0.4666666666666667,0.03333333333333333,0.0
