company_name_canonical,n,entry_share,ai_rate,median_desc_len
DataAnnotation,163,0.0,1.0,1512.0
CodeMonk,25,0.0,1.0,2958.0
Open Systems Technologies,23,0.9130434782608695,0.08695652173913043,388.0
Dice,18,0.7777777777777778,0.2222222222222222,3096.0
Discover Financial Services,16,0.4375,0.0625,5837.5
maven,14,0.0,0.21428571428571427,925.0
Collabera,12,1.0,0.08333333333333333,1041.0
Centraprise,12,0.0,0.0,1293.5
CNA Search,12,0.0,0.0,1675.0
Selby Jennings,11,0.0,0.09090909090909091,1399.0
ServiceNow,10,0.4,0.0,6705.5
USAA,10,0.8,0.0,5620.0
Avesta Computer Services,10,0.0,0.1,2025.0
Thermo Fisher Scientific,9,0.0,0.5555555555555556,3293.0
Block,9,0.0,0.3333333333333333,7619.0
Ledgent Technology,8,0.375,0.0,2066.0
Procore Technologies,8,0.25,0.0,4660.5
Walmart Global Tech,8,0.0,0.375,5098.0
Kroger,8,0.0,0.0,4780.0
Square,7,0.0,0.7142857142857143,8005.0
