size_band,n_companies,n_arshkon,n_scraped,entry_arshkon,entry_scraped,ai_arshkon,ai_scraped,desc_len_arshkon,desc_len_scraped
<100,45,96,99,0.09375,0.0707070707070707,0.09375,0.5656565656565656,1959.0,2743.0
100-999,78,237,190,0.17721518987341772,0.18947368421052632,0.14345991561181434,0.41578947368421054,2206.0,3472.5
1K-10K,114,399,405,0.2506265664160401,0.16296296296296298,0.15037593984962405,0.37037037037037035,3324.0,5307.0
10K+,137,861,997,0.20789779326364694,0.08324974924774323,0.21602787456445993,0.5827482447342026,4917.0,6174.0
