metro_area,T00_software / technical / development,T01_ai / learning / machine learning,T02_cloud / infrastructure / devops,T03_data / analytics / data engineer,T04_frontend / web / react,T05_spring / java / spring boot,T06_android / mobile / ios,T07_equipment / sales / customer,T08_test / testing / automation,T09_net / aspnet / net core,T10_embedded / firmware / embedded software,T11_aws / services / years noninternship,T12_flight / software / vehicle,T13_radar / clearance / missile,T15_site reliability / sre / reliability,T16_python / python developer / django,T17_typescript sql / javascript java / sql python,T18_systems engineering / systems engineer / systems,T19_servicenow / itsm / servicenow platform,T21_expedia / travel / cash,T22_test / manufacturing / equipment,noise_outliers
Atlanta Metro,0.1388888888888889,0.041666666666666664,0.013888888888888888,0.09722222222222222,0.027777777777777776,0.06944444444444445,0.08333333333333333,0.041666666666666664,0.013888888888888888,0.027777777777777776,0.013888888888888888,0.06944444444444445,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.3472222222222222
Austin Metro,0.17647058823529413,0.0,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.0392156862745098,0.0392156862745098,0.0196078431372549,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0392156862745098,0.0,0.0196078431372549,0.3333333333333333
Boston Metro,0.14084507042253522,0.014084507042253521,0.028169014084507043,0.1267605633802817,0.08450704225352113,0.04225352112676056,0.028169014084507043,0.04225352112676056,0.056338028169014086,0.04225352112676056,0.04225352112676056,0.028169014084507043,0.0,0.014084507042253521,0.014084507042253521,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.28169014084507044
Charlotte Metro,0.36585365853658536,0.0,0.07317073170731707,0.07317073170731707,0.0,0.07317073170731707,0.024390243902439025,0.024390243902439025,0.0,0.0975609756097561,0.0,0.0,0.0,0.0,0.0,0.07317073170731707,0.0,0.024390243902439025,0.0,0.0,0.0,0.17073170731707318
Chicago Metro,0.11764705882352941,0.011764705882352941,0.08235294117647059,0.07058823529411765,0.08235294117647059,0.03529411764705882,0.03529411764705882,0.023529411764705882,0.07058823529411765,0.047058823529411764,0.0,0.023529411764705882,0.0,0.0,0.0,0.023529411764705882,0.023529411764705882,0.0,0.011764705882352941,0.0,0.0,0.3411764705882353
Dallas-Fort Worth Metro,0.08955223880597014,0.007462686567164179,0.1044776119402985,0.09701492537313433,0.07462686567164178,0.1044776119402985,0.09701492537313433,0.0,0.022388059701492536,0.014925373134328358,0.007462686567164179,0.04477611940298507,0.0,0.007462686567164179,0.022388059701492536,0.014925373134328358,0.022388059701492536,0.0,0.022388059701492536,0.0,0.007462686567164179,0.23880597014925373
Denver Metro,0.07317073170731707,0.0,0.17073170731707318,0.0975609756097561,0.07317073170731707,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.04878048780487805,0.0,0.024390243902439025,0.0,0.024390243902439025,0.0,0.024390243902439025,0.0,0.024390243902439025,0.0,0.0,0.0,0.36585365853658536
Detroit Metro,0.3548387096774194,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.0,0.0,0.0,0.1935483870967742,0.0,0.0,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22580645161290322
Houston Metro,0.15625,0.0,0.09375,0.15625,0.125,0.03125,0.0,0.09375,0.0,0.15625,0.03125,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
Los Angeles Metro,0.1111111111111111,0.09523809523809523,0.12698412698412698,0.031746031746031744,0.15873015873015872,0.047619047619047616,0.0,0.06349206349206349,0.015873015873015872,0.06349206349206349,0.0,0.0,0.015873015873015872,0.015873015873015872,0.031746031746031744,0.015873015873015872,0.0,0.015873015873015872,0.0,0.0,0.0,0.19047619047619047
