scrape_date,all_rows,swe_rows,adj_rows,ctrl_rows
2026-03-20,16974,3047.0,798.0,2527.0
2026-03-21,9639,1415.0,429.0,1571.0
2026-03-22,9088,1215.0,367.0,1606.0
2026-03-23,6001,865.0,238.0,818.0
2026-03-24,15072,2679.0,628.0,2167.0
2026-03-25,16098,2805.0,735.0,2412.0
2026-03-26,15467,2597.0,818.0,2248.0
2026-03-27,14886,2707.0,732.0,1908.0
2026-03-28,14550,2314.0,702.0,2148.0
2026-03-29,7925,1086.0,303.0,1100.0
2026-03-30,6320,927.0,255.0,873.0
2026-03-31,13497,2438.0,662.0,1913.0
