archetype,archetype_name,n,share,period_2024_share,period_2026_share
11,Requirements / Compliance,13599,0.2267558193823784,0.510184572395029,0.4898154276049709
5,Generic Workflow / Admin,5641,0.0940605615954112,0.2313419606452756,0.7686580393547243
8,Embedded / Firmware,5029,0.0838557993730407,0.4692781865181945,0.5307218134818056
1,Cross-functional / Delivery,4489,0.0748515974121256,0.3818222321229672,0.6181777678770327
12,DevOps / Infra,4092,0.0682318415260454,0.2744379276637341,0.7255620723362659
6,AI / LLM workflows,3955,0.0659474421396651,0.0852085967130214,0.9147914032869784
9,Backend / Data Platform,3351,0.0558760755019008,0.5013428827215757,0.4986571172784244
13,DevOps / Tooling,3285,0.0547755619289001,0.2334855403348554,0.7665144596651446
3,Frontend / Web,3141,0.0523744414059894,0.5033428844317096,0.4966571155682903
2,Backend / API,2960,0.0493563663042753,0.1847972972972973,0.8152027027027027
0,Requirements / Boilerplate,2856,0.0476222237043953,0.5798319327731093,0.4201680672268907
4,Frontend / Angular,2470,0.0411858867471486,0.4109311740890688,0.5890688259109311
14,Embedded / Systems,2176,0.0362835990128726,0.3722426470588235,0.6277573529411765
10,Data Engineering / ETL,1897,0.0316314279997332,0.3379019504480759,0.6620980495519241
7,Mobile / iOS,1031,0.0171913559661175,0.3355965082444229,0.6644034917555771
