sensitivity,method,config,n_rows,coherence_cv,stability_ari,noise_pct,dominant_topic
primary_llm,NMF,k=15,5400,0.561617,0.78477,0.0,Requirements / Boilerplate
raw_fallback,NMF,k=15,4592,,,0.0,Other / Mixed
