year_period,source,seniority_3level,text_source,n,companies,aggregators
2024,kaggle_arshkon,junior,llm,159,143,9
2024,kaggle_arshkon,mid,llm,14,13,0
2024,kaggle_arshkon,senior,llm,1166,827,77
2024,kaggle_arshkon,unknown,llm,1361,899,130
2026,scraped,junior,llm,251,182,39
2026,scraped,mid,llm,26,19,3
2026,scraped,senior,llm,1260,807,116
2026,scraped,unknown,llm,1163,799,201
