metro_area,.NET / ASP.NET full-stack,AWS cloud SDE (Amazon template),AWS cloud generic template,Agile/Scrum generalist,Amazon program boilerplate,Android / Kotlin mobile,Azure data platform,Data engineering (Spark/ETL),Defense & cleared regulated work,DevOps / SRE / platform,Embedded / firmware,GPU / CUDA / systems perf,Generic JS/Python boilerplate,JS frontend (React/TypeScript),Java enterprise (Spring/microservices),LLM / GenAI / ML engineering,Python web backend (Django/Flask),QA / test automation,US gov SCI-cleared SWE,iOS / Swift mobile
Atlanta Metro,0.03205128205128205,0.03205128205128205,0.003205128205128205,0.060897435897435896,0.009615384615384616,0.038461538461538464,0.00641025641025641,0.08333333333333333,0.08974358974358974,0.1955128205128205,0.03205128205128205,0.0,0.0,0.09935897435897435,0.13141025641025642,0.15384615384615385,0.003205128205128205,0.016025641025641024,0.0,0.01282051282051282
Austin Metro,0.01764705882352941,0.05,0.0029411764705882353,0.05,0.008823529411764706,0.0,0.0,0.061764705882352944,0.07941176470588235,0.16470588235294117,0.11176470588235295,0.020588235294117647,0.0,0.09117647058823529,0.1264705882352941,0.1588235294117647,0.008823529411764706,0.020588235294117647,0.0058823529411764705,0.020588235294117647
Boston Metro,0.022222222222222223,0.017777777777777778,0.0044444444444444444,0.028888888888888888,0.011111111111111112,0.0,0.0044444444444444444,0.07555555555555556,0.14,0.13111111111111112,0.1,0.0044444444444444444,0.0,0.08666666666666667,0.1111111111111111,0.20666666666666667,0.028888888888888888,0.013333333333333334,0.0,0.013333333333333334
Charlotte Metro,0.03355704697986577,0.030201342281879196,0.003355704697986577,0.0436241610738255,0.0,0.016778523489932886,0.02348993288590604,0.10738255033557047,0.11409395973154363,0.1644295302013423,0.006711409395973154,0.0,0.0,0.07718120805369127,0.19463087248322147,0.12416107382550336,0.02348993288590604,0.016778523489932886,0.0,0.020134228187919462
Chicago Metro,0.06229508196721312,0.02622950819672131,0.01639344262295082,0.036065573770491806,0.0,0.006557377049180328,0.04262295081967213,0.08524590163934426,0.11475409836065574,0.16065573770491803,0.03278688524590164,0.009836065573770493,0.003278688524590164,0.07213114754098361,0.1377049180327869,0.14754098360655737,0.009836065573770493,0.019672131147540985,0.003278688524590164,0.013114754098360656
Dallas-Fort Worth Metro,0.04794520547945205,0.032534246575342464,0.00684931506849315,0.046232876712328765,0.003424657534246575,0.00684931506849315,0.011986301369863013,0.07534246575342465,0.10787671232876712,0.15753424657534246,0.02910958904109589,0.003424657534246575,0.0,0.11643835616438356,0.17465753424657535,0.13013698630136986,0.0136986301369863,0.025684931506849314,0.0,0.010273972602739725
Denver Metro,0.029411764705882353,0.029411764705882353,0.0,0.046218487394957986,0.012605042016806723,0.004201680672268907,0.0,0.04201680672268908,0.21428571428571427,0.19747899159663865,0.07563025210084033,0.0,0.01680672268907563,0.08823529411764706,0.06722689075630252,0.12184873949579832,0.004201680672268907,0.025210084033613446,0.025210084033613446,0.0
Detroit Metro,0.033707865168539325,0.0056179775280898875,0.0,0.016853932584269662,0.0,0.0,0.016853932584269662,0.0449438202247191,0.20786516853932585,0.15730337078651685,0.15730337078651685,0.0,0.0056179775280898875,0.06741573033707865,0.12921348314606743,0.12359550561797752,0.011235955056179775,0.016853932584269662,0.0,0.0056179775280898875
Houston Metro,0.06535947712418301,0.026143790849673203,0.0,0.0196078431372549,0.0,0.0,0.026143790849673203,0.1437908496732026,0.1830065359477124,0.20261437908496732,0.0392156862745098,0.006535947712418301,0.013071895424836602,0.11764705882352941,0.0392156862745098,0.09803921568627451,0.0,0.006535947712418301,0.013071895424836602,0.0
Los Angeles Metro,0.01568627450980392,0.0196078431372549,0.00392156862745098,0.0196078431372549,0.011764705882352941,0.00196078431372549,0.00784313725490196,0.06862745098039216,0.22941176470588234,0.12745098039215685,0.17647058823529413,0.0,0.0,0.09215686274509804,0.045098039215686274,0.1392156862745098,0.00196078431372549,0.0196078431372549,0.00196078431372549,0.01764705882352941
