metro_area,period_label,archetype_name,n,share
Atlanta Metro,y2024,.NET / ASP.NET full-stack,12,0.08759124087591241
Atlanta Metro,y2024,AWS cloud SDE (Amazon template),5,0.0364963503649635
Atlanta Metro,y2024,AWS cloud generic template,1,0.0072992700729927005
Atlanta Metro,y2024,Agile/Scrum generalist,7,0.051094890510948905
Atlanta Metro,y2024,Amazon program boilerplate,4,0.029197080291970802
Atlanta Metro,y2024,Android / Kotlin mobile,2,0.014598540145985401
Atlanta Metro,y2024,Azure data platform,2,0.014598540145985401
Atlanta Metro,y2024,Data engineering (Spark/ETL),9,0.06569343065693431
Atlanta Metro,y2024,Defense & cleared regulated work,15,0.10948905109489052
Atlanta Metro,y2024,DevOps / SRE / platform,22,0.16058394160583941
Atlanta Metro,y2024,Embedded / firmware,4,0.029197080291970802
Atlanta Metro,y2024,JS frontend (React/TypeScript),8,0.058394160583941604
Atlanta Metro,y2024,Java enterprise (Spring/microservices),35,0.25547445255474455
Atlanta Metro,y2024,LLM / GenAI / ML engineering,4,0.029197080291970802
Atlanta Metro,y2024,QA / test automation,4,0.029197080291970802
Atlanta Metro,y2024,iOS / Swift mobile,3,0.021897810218978103
Atlanta Metro,y2026,.NET / ASP.NET full-stack,10,0.03205128205128205
Atlanta Metro,y2026,AWS cloud SDE (Amazon template),10,0.03205128205128205
Atlanta Metro,y2026,AWS cloud generic template,1,0.003205128205128205
Atlanta Metro,y2026,Agile/Scrum generalist,19,0.060897435897435896
Atlanta Metro,y2026,Amazon program boilerplate,3,0.009615384615384616
Atlanta Metro,y2026,Android / Kotlin mobile,12,0.038461538461538464
Atlanta Metro,y2026,Azure data platform,2,0.00641025641025641
Atlanta Metro,y2026,Data engineering (Spark/ETL),26,0.08333333333333333
Atlanta Metro,y2026,Defense & cleared regulated work,28,0.08974358974358974
Atlanta Metro,y2026,DevOps / SRE / platform,61,0.1955128205128205
Atlanta Metro,y2026,Embedded / firmware,10,0.03205128205128205
Atlanta Metro,y2026,JS frontend (React/TypeScript),31,0.09935897435897435
Atlanta Metro,y2026,Java enterprise (Spring/microservices),41,0.13141025641025642
Atlanta Metro,y2026,LLM / GenAI / ML engineering,48,0.15384615384615385
Atlanta Metro,y2026,Python web backend (Django/Flask),1,0.003205128205128205
Atlanta Metro,y2026,QA / test automation,5,0.016025641025641024
Atlanta Metro,y2026,iOS / Swift mobile,4,0.01282051282051282
Austin Metro,y2024,.NET / ASP.NET full-stack,5,0.05263157894736842
Austin Metro,y2024,AWS cloud SDE (Amazon template),6,0.06315789473684211
Austin Metro,y2024,Agile/Scrum generalist,3,0.031578947368421054
Austin Metro,y2024,Amazon program boilerplate,1,0.010526315789473684
Austin Metro,y2024,Azure data platform,1,0.010526315789473684
Austin Metro,y2024,Data engineering (Spark/ETL),4,0.042105263157894736
Austin Metro,y2024,Defense & cleared regulated work,7,0.07368421052631578
Austin Metro,y2024,DevOps / SRE / platform,15,0.15789473684210525
Austin Metro,y2024,Embedded / firmware,11,0.11578947368421053
