criterion,n_companies_agg_included,n_companies_agg_excluded
any overlap (arshkon+asaniczka & scraped),2109,1934
>=3 SWE in arshkon-only AND scraped,243,210
>=5 SWE in arshkon-only AND scraped,125,103
>=3 SWE in pooled 2024 AND scraped,609,539
>=5 SWE in pooled 2024 AND scraped,356,312
