criterion,n_pairs
arshkon-only: >=1 pair,350
pooled 2024: >=1 pair,866
arshkon-only: >=2 pair,68
pooled 2024: >=2 pair,191
arshkon-only: >=3 pair,29
pooled 2024: >=3 pair,94
