criterion,n_metros,metros
>=50 SWE in pooled 2024 AND scraped,26,"San Francisco Bay Area, Washington DC Metro, Seattle Metro, Dallas-Fort Worth Metro, New York City Metro, Salt Lake City Metro, Los Angeles Metro, Boston Metro, Austin Metro, Charlotte Metro, Atlanta Metro, Chicago Metro, Philadelphia Metro, Denver Metro, Phoenix Metro, Detroit Metro, Minneapolis-Saint Paul, Raleigh-Durham-Chapel Hill, Houston Metro, Columbus Metro, San Diego Metro, Pittsburgh Metro, Miami Metro, Tampa Bay Metro, Nashville Metro, Portland Metro"
>=100 SWE in pooled 2024 AND scraped,25,"San Francisco Bay Area, Washington DC Metro, Seattle Metro, Dallas-Fort Worth Metro, Salt Lake City Metro, Los Angeles Metro, Boston Metro, Austin Metro, Charlotte Metro, Atlanta Metro, Chicago Metro, Philadelphia Metro, Denver Metro, Phoenix Metro, Detroit Metro, Minneapolis-Saint Paul, Raleigh-Durham-Chapel Hill, Houston Metro, Columbus Metro, San Diego Metro, Pittsburgh Metro, Miami Metro, Tampa Bay Metro, Nashville Metro, Portland Metro"
>=50 SWE in arshkon-only 2024 AND scraped,18,"San Francisco Bay Area, Washington DC Metro, Seattle Metro, Dallas-Fort Worth Metro, Los Angeles Metro, Boston Metro, Austin Metro, Charlotte Metro, Atlanta Metro, Chicago Metro, Philadelphia Metro, Denver Metro, Phoenix Metro, Detroit Metro, Minneapolis-Saint Paul, Raleigh-Durham-Chapel Hill, Houston Metro, San Diego Metro"
>=100 SWE in arshkon-only 2024 AND scraped,8,"San Francisco Bay Area, Washington DC Metro, Seattle Metro, Dallas-Fort Worth Metro, Los Angeles Metro, Boston Metro, Atlanta Metro, Chicago Metro"
