AREA_TITLE,bls_sd_emp,bls_qa_emp,bls_total_emp,state_code,our_n_arshkon,our_n_asaniczka,our_n_pooled_2024,our_n_scraped
Alabama,18020.0,1910.0,19930.0,AL,17.0,191,208,0.0
Alaska,430.0,0.0,430.0,AK,1.0,7,8,0.0
Arizona,35650.0,3680.0,39330.0,AZ,85.0,341,426,946.0
Arkansas,6390.0,0.0,6390.0,AR,13.0,129,142,0.0
California,292630.0,31530.0,324160.0,CA,562.0,2589,3151,8799.0
Connecticut,16490.0,1200.0,17690.0,CT,27.0,235,262,110.0
Delaware,3850.0,700.0,4550.0,DE,15.0,101,116,257.0
District of Columbia,8250.0,750.0,9000.0,DC,30.0,194,224,490.0
Florida,82610.0,12080.0,94690.0,FL,135.0,777,912,842.0
Georgia,47350.0,7830.0,55180.0,GA,150.0,532,682,1372.0
Hawaii,1940.0,210.0,2150.0,HI,0.0,32,32,0.0
Idaho,4960.0,490.0,5450.0,ID,13.0,32,45,0.0
Illinois,54490.0,6800.0,61290.0,IL,156.0,631,787,1374.0
Indiana,12690.0,1630.0,14320.0,IN,31.0,189,220,9.0
Iowa,9840.0,1080.0,10920.0,IA,15.0,175,190,0.0
Kansas,15850.0,1320.0,17170.0,KS,17.0,80,97,20.0
Kentucky,7070.0,1140.0,8210.0,KY,14.0,57,71,0.0
Louisiana,3870.0,540.0,4410.0,LA,4.0,56,60,0.0
Maine,2740.0,390.0,3130.0,ME,11.0,43,54,0.0
Maryland,31940.0,6340.0,38280.0,MD,74.0,958,1032,1625.0
Massachusetts,54260.0,7650.0,61910.0,MA,115.0,675,790,1932.0
Michigan,41490.0,3500.0,44990.0,MI,85.0,431,516,807.0
Minnesota,39580.0,2930.0,42510.0,MN,59.0,229,288,775.0
Mississippi,3200.0,460.0,3660.0,MS,6.0,37,43,0.0
Missouri,17060.0,2400.0,19460.0,MO,26.0,235,261,10.0
Montana,2070.0,260.0,2330.0,MT,3.0,13,16,0.0
Nebraska,8940.0,1680.0,10620.0,NE,11.0,71,82,0.0
Nevada,4640.0,680.0,5320.0,NV,19.0,87,106,0.0
New Hampshire,8010.0,610.0,8620.0,NH,17.0,101,118,254.0
New Jersey,57120.0,6930.0,64050.0,NJ,148.0,594,742,1546.0
New Mexico,4810.0,400.0,5210.0,NM,11.0,62,73,0.0
New York,104130.0,11140.0,115270.0,NY,235.0,770,1005,2926.0
North Carolina,57590.0,7280.0,64870.0,NC,140.0,480,620,2116.0
North Dakota,1510.0,470.0,1980.0,ND,3.0,5,8,0.0
Ohio,44280.0,4000.0,48280.0,OH,104.0,472,576,616.0
Oklahoma,7150.0,1720.0,8870.0,OK,10.0,93,103,0.0
Oregon,21100.0,3010.0,24110.0,OR,12.0,114,126,192.0
Pennsylvania,47350.0,5690.0,53040.0,PA,126.0,563,689,1173.0
Rhode Island,6010.0,440.0,6450.0,RI,10.0,73,83,90.0
South Carolina,12230.0,1320.0,13550.0,SC,10.0,118,128,35.0
South Dakota,2190.0,350.0,2540.0,SD,0.0,14,14,0.0
Tennessee,18750.0,2290.0,21040.0,TN,23.0,173,196,279.0
Texas,151460.0,19300.0,170760.0,TX,430.0,1218,1648,4754.0
Utah,29160.0,4300.0,33460.0,UT,17.0,252,269,0.0
Vermont,0.0,130.0,130.0,VT,0.0,12,12,0.0
Virginia,83290.0,9880.0,93170.0,VA,215.0,1007,1222,2316.0
Washington,91470.0,9220.0,100690.0,WA,179.0,627,806,2761.0
West Virginia,2280.0,260.0,2540.0,WV,6.0,17,23,4.0
Wisconsin,22170.0,3820.0,25990.0,WI,45.0,209,254,9.0
Wyoming,1020.0,0.0,1020.0,WY,0.0,2,2,0.0
