metric,value
"2023 avg info openings (thousands, NSA)",136.8
"2024 avg info openings (thousands, NSA)",122.5
"2025 avg info openings (thousands, NSA)",121.2
"2026 YTD avg info openings (thousands, NSA)",97.0
latest month info openings (thousands),92
latest month date,2026-02-01
ratio 2026_YTD / 2023_avg,0.709
ratio 2024_avg / 2023_avg,0.896
ratio 2025_avg / 2023_avg,0.886
total nonfarm 2023 avg,9268.0
total nonfarm 2024 avg,7656.7
total nonfarm 2025 avg,7081.7
total nonfarm 2026 YTD avg,7061.0
total nonfarm latest,6882
total nonfarm latest date,2026-02-01
