company_industry,kaggle_arshkon,scraped,share_arshkon,share_scraped,pp_change
Software Development,611.0,11875.0,0.13131313131313133,0.2621123496302836,13.07992183171523
IT Services and IT Consulting,1202.0,5729.0,0.25832796045562,0.12645403377110695,-13.187392668451306
Financial Services,391.0,3156.0,0.08403180743606276,0.0696611852996358,-1.4370622136426952
"Technology, Information and Internet",106.0,2232.0,0.02278100150440576,0.04926608542103521,2.648508391662945
Defense and Space Manufacturing,122.0,1741.0,0.026219643240919837,0.03842842953316411,1.2208786292244274
Staffing and Recruiting,271.0,1219.0,0.058241994412207176,0.026906522458889748,-3.133547195331743
Business Consulting and Services,63.0,827.0,0.013539651837524178,0.018254055843725858,0.471440400620168
"Information Services and Technology, Information and Internet",0.0,817.0,0.0,0.018033329654563515,1.8033329654563515
Hospitals and Health Care,80.0,649.0,0.017193208682570384,0.014325129676636133,-0.28680790059342504
Semiconductor Manufacturing,39.0,606.0,0.008381689232753063,0.013376007063238052,0.49943178304849895
Aviation and Aerospace Component Manufacturing,25.0,524.0,0.005372877713303245,0.011566052312106832,0.6193174598803587
Retail,69.0,507.0,0.014829142488716958,0.011190817790530846,-0.36383246981861117
Entertainment Providers,50.0,395.0,0.01074575542660649,0.008718684471912593,-0.20270709546938975
Insurance,63.0,390.0,0.013539651837524178,0.00860832137733142,-0.4931330460192758
"Technology, Information and Media",84.0,378.0,0.018052869116698903,0.008343449950336607,-0.9709419166362296
Information Technology & Services,126.0,356.0,0.027079303675048357,0.00785785233417945,-1.9221451340868907
"Financial Services, Investment Management, and Banking",0.0,301.0,0.0,0.0066438582937865575,0.6643858293786558
Internet Publishing,2.0,290.0,0.0004298302170642596,0.00640105948570798,0.597122926864372
Civil Engineering,4.0,276.0,0.0008596604341285192,0.006092042820880697,0.5232382386752178
Research Services,6.0,268.0,0.0012894906511927789,0.005915461869550822,0.4625971218358043
Telecommunications,47.0,267.0,0.010101010101010102,0.0058933892506345875,-0.4207620850375514
Medical Equipment Manufacturing,41.0,263.0,0.008811519449817323,0.00580509877496965,-0.30064206748476724
"Appliances, Electrical, and Electronics Manufacturing",53.0,254.0,0.01139050075220288,0.00560644520472354,-0.578405554747934
Computer and Network Security,54.0,254.0,0.01160541586073501,0.00560644520472354,-0.599897065601147
Motor Vehicle Manufacturing,63.0,250.0,0.013539651837524178,0.0055181547290586025,-0.8021497108465576
Banking,92.0,226.0,0.019772189984955942,0.004988411875068977,-1.4783778109886965
