year,info_openings_k,total_openings_k,info_share_pct
2000,130.0,5088.0,2.5550314465408803
2001,119.83333333333333,4349.583333333333,2.75505316601207
2002,86.58333333333333,3452.8333333333335,2.507602452092484
2003,73.91666666666667,3238.4166666666665,2.282494017138005
2004,88.08333333333333,3642.0,2.418542925132711
2005,100.0,4107.916666666667,2.4343239679480675
2006,143.91666666666666,4584.833333333333,3.1389726998436878
2007,146.08333333333334,4687.666666666667,3.1163336414705256
2008,73.5,3798.8333333333335,1.9348045452551221
2009,50.0,2501.4166666666665,1.9988673085251691
2010,74.16666666666667,2968.9166666666665,2.4981053695231146
2011,101.0,3430.1666666666665,2.9444633399737623
2012,93.25,3841.0,2.4277531892736266
2013,98.41666666666667,4070.5,2.417802890717766
2014,108.0,4773.083333333333,2.262688339123907
2015,110.83333333333333,5563.833333333333,1.99203187250996
2016,90.91666666666667,5855.5,1.5526712777161076
2017,100.33333333333333,6118.5,1.6398354716569963
2018,137.33333333333334,7109.166666666667,1.9317782206071974
2019,141.33333333333334,7153.833333333333,1.975630780700324
2020,111.08333333333333,6349.333333333333,1.7495275094498108
2021,177.58333333333334,9979.416666666666,1.7794961295332896
2022,224.25,11194.75,2.0031711293240133
2023,136.75,9268.0,1.475507121277514
2024,122.5,7656.666666666667,1.5999129299085764
2025,121.16666666666667,7081.666666666667,1.7109908213697342
2026,97.0,7061.0,1.3737430958787706
