source,n_multi_location,n_unresolved_metro,n_with_metro,n_total
kaggle_arshkon,116.0,1805.0,2770.0,4691
kaggle_asaniczka,894.0,4343.0,12892.0,18129
scraped,3344.0,8036.0,33937.0,45317
