company_name_canonical,kaggle_arshkon,kaggle_asaniczka,scraped,pooled_2024,min_overlap
Capital One,52.0,658.0,247.0,710.0,247.0
Amazon,31.0,142.0,376.0,173.0,173.0
Walmart,2.0,170.0,245.0,172.0,172.0
Raytheon,3.0,143.0,126.0,146.0,126.0
Motion Recruitment,40.0,84.0,238.0,124.0,124.0
Northrop Grumman,14.0,295.0,115.0,309.0,115.0
Amazon Web Services (AWS),12.0,97.0,376.0,109.0,109.0
Kforce Inc,0.0,99.0,165.0,99.0,99.0
CyberCoders,2.0,95.0,136.0,97.0,97.0
BLUE ORIGIN,7.0,99.0,91.0,106.0,91.0
Lockheed Martin,0.0,86.0,191.0,86.0,86.0
Apex Systems,52.0,26.0,201.0,78.0,78.0
Tata Consultancy Services,39.0,33.0,142.0,72.0,72.0
Jobot,12.0,58.0,97.0,70.0,70.0
Leidos,13.0,56.0,258.0,69.0,69.0
Insight Global,25.0,36.0,141.0,61.0,61.0
L3Harris Technologies,1.0,69.0,60.0,70.0,60.0
NVIDIA,2.0,55.0,195.0,57.0,57.0
Collins Aerospace,3.0,68.0,55.0,71.0,55.0
Robert Half,20.0,34.0,98.0,54.0,54.0
Palo Alto Networks,13.0,86.0,52.0,99.0,52.0
Anduril Industries,4.0,48.0,271.0,52.0,52.0
CACI International Inc,10.0,42.0,92.0,52.0,52.0
"BAE Systems, Inc.",14.0,38.0,140.0,52.0,52.0
The Walt Disney Company,5.0,46.0,69.0,51.0,51.0
ByteDance,3.0,41.0,124.0,44.0,44.0
Akkodis,25.0,19.0,76.0,44.0,44.0
Experis,26.0,18.0,72.0,44.0,44.0
Honeywell,11.0,33.0,51.0,44.0,44.0
Compunnel Inc.,26.0,22.0,43.0,48.0,43.0
Infosys,5.0,37.0,50.0,42.0,42.0
SpaceX,0.0,40.0,159.0,40.0,40.0
ManTech,1.0,38.0,44.0,39.0,39.0
Actalent,23.0,16.0,276.0,39.0,39.0
Snowflake,0.0,38.0,41.0,38.0,38.0
Wells Fargo,16.0,21.0,327.0,37.0,37.0
"Mission Technologies, a division of HII",4.0,64.0,35.0,68.0,35.0
Goldman Sachs,6.0,29.0,49.0,35.0,35.0
Rivian,0.0,34.0,36.0,34.0,34.0
Abbott,1.0,54.0,33.0,55.0,33.0
Google,15.0,18.0,820.0,33.0,33.0
SAIC,10.0,36.0,32.0,46.0,32.0
"Syms Strategic Group, LLC (SSG)",0.0,118.0,32.0,118.0,32.0
TEKsystems,23.0,8.0,120.0,31.0,31.0
Lorven Technologies Inc.,3.0,28.0,51.0,31.0,31.0
Oracle,19.0,11.0,47.0,30.0,30.0
Brooksource,5.0,24.0,49.0,29.0,29.0
Fidelity Investments,29.0,0.0,54.0,29.0,29.0
Synechron,15.0,14.0,68.0,29.0,29.0
Aditi Consulting,8.0,20.0,36.0,28.0,28.0
Cloudflare,7.0,19.0,38.0,26.0,26.0
ICE,26.0,0.0,52.0,26.0,26.0
AMD,2.0,23.0,88.0,25.0,25.0
BioSpace,3.0,22.0,37.0,25.0,25.0
Intellectt Inc,4.0,86.0,24.0,90.0,24.0
Medtronic,2.0,26.0,24.0,28.0,24.0
Piper Companies,16.0,8.0,110.0,24.0,24.0
Stripe,0.0,23.0,25.0,23.0,23.0
EVONA,4.0,22.0,23.0,26.0,23.0
Captivation,0.0,41.0,23.0,41.0,23.0
