our_source,bls_metric,r_linear,n_linear,r_log_log,n_log_log
arshkon,bls_sd_emp,0.9733,50,0.8503,50
asaniczka,bls_sd_emp,0.9619,50,0.8271,50
pooled_2024,bls_sd_emp,0.9724,50,0.8369,50
scraped,bls_sd_emp,0.9743,50,0.6926,50
arshkon,bls_total_emp,0.9746,50,0.9353,50
asaniczka,bls_total_emp,0.9637,50,0.9326,50
pooled_2024,bls_total_emp,0.9742,50,0.9401,50
scraped,bls_total_emp,0.9742,50,0.7931,50
