metro_area,kaggle_arshkon,kaggle_asaniczka,scraped,pooled_2024,qual_gt50_pooled,qual_gt100_pooled,qual_gt50_arshkon,qual_gt100_arshkon
San Francisco Bay Area,359.0,1371.0,5483.0,1730.0,True,True,True,True
Washington DC Metro,250.0,1858.0,3389.0,2108.0,True,True,True,True
Seattle Metro,173.0,589.0,2428.0,762.0,True,True,True,True
Dallas-Fort Worth Metro,245.0,607.0,2315.0,852.0,True,True,True,True
New York City Metro,7.0,60.0,2220.0,67.0,True,False,False,False
Salt Lake City Metro,31.0,298.0,1898.0,329.0,True,True,False,False
Los Angeles Metro,121.0,887.0,1818.0,1008.0,True,True,True,True
Boston Metro,132.0,727.0,1736.0,859.0,True,True,True,True
Austin Metro,95.0,263.0,1269.0,358.0,True,True,True,False
Charlotte Metro,75.0,230.0,1231.0,305.0,True,True,True,False
Atlanta Metro,139.0,446.0,1189.0,585.0,True,True,True,True
Chicago Metro,152.0,576.0,1157.0,728.0,True,True,True,True
Philadelphia Metro,80.0,417.0,929.0,497.0,True,True,True,False
Denver Metro,80.0,477.0,814.0,557.0,True,True,True,False
Phoenix Metro,75.0,278.0,803.0,353.0,True,True,True,False
Detroit Metro,67.0,293.0,723.0,360.0,True,True,True,False
Minneapolis-Saint Paul,54.0,206.0,622.0,260.0,True,True,True,False
Raleigh-Durham-Chapel Hill,51.0,192.0,617.0,243.0,True,True,True,False
Houston Metro,65.0,168.0,589.0,233.0,True,True,True,False
Columbus Metro,39.0,101.0,557.0,140.0,True,True,False,False
San Diego Metro,53.0,215.0,535.0,268.0,True,True,True,False
Pittsburgh Metro,40.0,166.0,521.0,206.0,True,True,False,False
Miami Metro,28.0,190.0,369.0,218.0,True,True,False,False
Tampa Bay Metro,42.0,172.0,317.0,214.0,True,True,False,False
Nashville Metro,11.0,91.0,241.0,102.0,True,True,False,False
Portland Metro,14.0,102.0,167.0,116.0,True,True,False,False
Columbia Metro,2.0,19.0,0.0,21.0,False,False,False,False
Charlottesville Metro,0.0,41.0,0.0,41.0,False,False,False,False
Buffalo-Cheektowaga Metro,3.0,13.0,0.0,16.0,False,False,False,False
Cape Coral-Fort Myers Metro,0.0,3.0,0.0,3.0,False,False,False,False
Bakersfield-Delano Metro,0.0,1.0,0.0,1.0,False,False,False,False
Baton Rouge Metro,0.0,12.0,0.0,12.0,False,False,False,False
Boise City Metro,2.0,24.0,0.0,26.0,False,False,False,False
Birmingham Metro,3.0,22.0,0.0,25.0,False,False,False,False
Albany Metro,4.0,49.0,0.0,53.0,False,False,False,False
Albuquerque Metro,7.0,35.0,0.0,42.0,False,False,False,False
Anchorage Metro,1.0,1.0,0.0,2.0,False,False,False,False
Augusta-Richmond County Metro,0.0,9.0,0.0,9.0,False,False,False,False
Akron Metro,2.0,3.0,0.0,5.0,False,False,False,False
Cleveland Metro,14.0,44.0,0.0,58.0,False,False,False,False
Cincinnati Metro,15.0,104.0,0.0,119.0,False,False,False,False
Chattanooga Metro,0.0,10.0,0.0,10.0,False,False,False,False
Charleston-North Charleston Metro,1.0,35.0,0.0,36.0,False,False,False,False
Hartford-West Hartford-East Hartford Metro,6.0,61.0,0.0,67.0,False,False,False,False
Harrisburg-Carlisle Metro,12.0,10.0,0.0,22.0,False,False,False,False
Greenville-Anderson-Greer Metro,1.0,19.0,0.0,20.0,False,False,False,False
