metric,value_pct,n
Software Development share — arshkon,13.13,611
Software Development share — scraped,26.21,11875
IT Services & IT Consulting share — arshkon,25.83,1202
IT Services & IT Consulting share — scraped,12.65,5729
Staffing/Recruiting share — arshkon,5.82,271
Staffing/Recruiting share — scraped,2.69,1219
