category,company_industry,kaggle_arshkon,scraped,share_arshkon,share_scraped,pp_change
top_gainer,Software Development,611.0,11875.0,0.13131313131313133,0.2621123496302836,13.07992183171523
top_gainer,"Technology, Information and Internet",106.0,2232.0,0.02278100150440576,0.04926608542103521,2.648508391662945
top_gainer,"Information Services and Technology, Information and Internet",0.0,817.0,0.0,0.018033329654563515,1.8033329654563515
top_gainer,Defense and Space Manufacturing,122.0,1741.0,0.026219643240919837,0.03842842953316411,1.2208786292244274
top_gainer,"Financial Services, Investment Management, and Banking",0.0,301.0,0.0,0.0066438582937865575,0.6643858293786558
top_gainer,Aviation and Aerospace Component Manufacturing,25.0,524.0,0.005372877713303245,0.011566052312106832,0.6193174598803587
top_gainer,Internet Publishing,2.0,290.0,0.0004298302170642596,0.00640105948570798,0.597122926864372
top_gainer,Civil Engineering,4.0,276.0,0.0008596604341285192,0.006092042820880697,0.5232382386752178
top_gainer,Semiconductor Manufacturing,39.0,606.0,0.008381689232753063,0.013376007063238052,0.49943178304849895
top_gainer,Business Consulting and Services,63.0,827.0,0.013539651837524178,0.018254055843725858,0.471440400620168
top_gainer,Research Services,6.0,268.0,0.0012894906511927789,0.005915461869550822,0.4625971218358043
top_gainer,"Motor Vehicle Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and IT Services and IT Consulting",0.0,188.0,0.0,0.00414965235625207,0.414965235625207
top_gainer,"Software Development, Financial Services, and Technology, Information and Internet",0.0,186.0,0.0,0.0041055071184196,0.41055071184196
top_gainer,"Construction, Software Development, and IT Services and IT Consulting",0.0,146.0,0.0,0.003222602361770224,0.32226023617702243
top_gainer,Software Development and IT Services and IT Consulting,0.0,139.0,0.0,0.003068094029356583,0.3068094029356583
top_loser,IT Services and IT Consulting,1202.0,5729.0,0.25832796045562,0.12645403377110695,-13.187392668451306
top_loser,Staffing and Recruiting,271.0,1219.0,0.058241994412207176,0.026906522458889748,-3.133547195331743
top_loser,Information Services,150.0,196.0,0.032237266279819474,0.004326233307581945,-2.791103297223753
top_loser,Information Technology & Services,126.0,356.0,0.027079303675048357,0.00785785233417945,-1.9221451340868907
top_loser,Banking,92.0,226.0,0.019772189984955942,0.004988411875068977,-1.4783778109886965
top_loser,Financial Services,391.0,3156.0,0.08403180743606276,0.0696611852996358,-1.4370622136426952
top_loser,"Technology, Information and Media",84.0,378.0,0.018052869116698903,0.008343449950336607,-0.9709419166362296
top_loser,Motor Vehicle Manufacturing,63.0,250.0,0.013539651837524178,0.0055181547290586025,-0.8021497108465576
top_loser,Manufacturing,46.0,165.0,0.009886094992477971,0.003641982121178678,-0.6244112871299292
top_loser,Computer and Network Security,54.0,254.0,0.01160541586073501,0.00560644520472354,-0.599897065601147
top_loser,"Appliances, Electrical, and Electronics Manufacturing",53.0,254.0,0.01139050075220288,0.00560644520472354,-0.578405554747934
top_loser,Pharmaceutical Manufacturing,34.0,95.0,0.007307113690092413,0.0020968987970422692,-0.5210214893050144
top_loser,Insurance,63.0,390.0,0.013539651837524178,0.00860832137733142,-0.4931330460192758
top_loser,Telecommunications,47.0,267.0,0.010101010101010102,0.0058933892506345875,-0.4207620850375514
top_loser,Retail,69.0,507.0,0.014829142488716958,0.011190817790530846,-0.36383246981861117
