source,period,year,seniority_3level,text_source,sample_n,eligible_n,sample_share_of_eligible
kaggle_arshkon,2024-04,2024,junior,llm,166,166,1.0
kaggle_arshkon,2024-04,2024,mid,llm,15,15,1.0
kaggle_arshkon,2024-04,2024,senior,llm,337,2053,0.16415002435460302
kaggle_arshkon,2024-04,2024,unknown,llm,594,2341,0.25373771892353697
kaggle_asaniczka,2024-01,2024,junior,llm,197,197,1.0
kaggle_asaniczka,2024-01,2024,mid,llm,24,24,1.0
kaggle_asaniczka,2024-01,2024,senior,llm,1663,10673,0.15581373559449077
kaggle_asaniczka,2024-01,2024,unknown,llm,1406,5892,0.2386286490156144
scraped,2026-03,2026,junior,llm,360,360,1.0
scraped,2026-03,2026,mid,llm,26,26,1.0
scraped,2026-03,2026,senior,llm,970,3066,0.31637312459230266
scraped,2026-03,2026,unknown,llm,945,2791,0.33858831959871016
scraped,2026-04,2026,junior,llm,241,241,1.0
scraped,2026-04,2026,mid,llm,25,25,1.0
scraped,2026-04,2026,senior,llm,1030,3078,0.3346328784925276
scraped,2026-04,2026,unknown,llm,1055,2793,0.3777300393841747
