representation,group,n,avg_pairwise_cosine,dispersion_1_minus_avg_cosine
embedding,2024_junior,363,0.49217822530934663,0.5078217746906534
embedding,2024_mid,39,0.4419956799299933,0.5580043200700067
embedding,2024_senior,2000,0.49359442221110555,0.5064055777888945
embedding,2024_unknown,2000,0.45134554777388697,0.548654452226113
embedding,2026_junior,601,0.5196492391153633,0.4803507608846367
embedding,2026_mid,51,0.5545782590379902,0.4454217409620098
embedding,2026_senior,2000,0.5426543271635818,0.45734567283641825
embedding,2026_unknown,2000,0.5029670460230115,0.49703295397698855
tfidf_svd,2024_junior,363,0.24081432556827695,0.759185674431723
tfidf_svd,2024_mid,39,0.21661304880572074,0.7833869511942793
tfidf_svd,2024_senior,2000,0.22276250625312657,0.7772374937468735
tfidf_svd,2024_unknown,2000,0.20091702101050526,0.7990829789894948
tfidf_svd,2026_junior,601,0.24512574528563505,0.754874254714365
tfidf_svd,2026_mid,51,0.2592853142233456,0.7407146857766544
tfidf_svd,2026_senior,2000,0.25280211980990497,0.747197880190095
tfidf_svd,2026_unknown,2000,0.21928342296148073,0.7807165770385193
