spec,representation,corpus,junior_n,senior_n,junior_senior_similarity,arshkon_to_scraped_shift,pooled_2024_to_scraped_shift,within_2024_asaniczka_minus_arshkon,calibration_verdict
primary_all,embedding,arshkon,166,337,0.9543308615684509,0.004960358142852783,-0.015107691287994385,0.021508872509002686,reject_convergence
primary_all,embedding,asaniczka,197,1663,0.9758397340774536,0.004960358142852783,-0.015107691287994385,0.021508872509002686,reject_convergence
primary_all,embedding,pooled_2024,363,2000,0.9743989109992981,0.004960358142852783,-0.015107691287994385,0.021508872509002686,reject_convergence
primary_all,embedding,scraped_2026,601,2000,0.9592912197113037,0.004960358142852783,-0.015107691287994385,0.021508872509002686,reject_convergence
primary_all,tfidf_svd,arshkon,166,337,0.8843197226524353,-0.04246830940246582,-0.09220874309539795,0.05497860908508301,reject_convergence
primary_all,tfidf_svd,asaniczka,197,1663,0.9392983317375183,-0.04246830940246582,-0.09220874309539795,0.05497860908508301,reject_convergence
primary_all,tfidf_svd,pooled_2024,363,2000,0.9340601563453674,-0.04246830940246582,-0.09220874309539795,0.05497860908508301,reject_convergence
primary_all,tfidf_svd,scraped_2026,601,2000,0.8418514132499695,-0.04246830940246582,-0.09220874309539795,0.05497860908508301,reject_convergence
no_aggregators,embedding,arshkon,155,317,0.953690230846405,0.0029549598693847656,-0.015620887279510498,0.02035599946975708,reject_convergence
no_aggregators,embedding,asaniczka,182,1316,0.9740462303161621,0.0029549598693847656,-0.015620887279510498,0.02035599946975708,reject_convergence
no_aggregators,embedding,pooled_2024,337,1633,0.9722660779953003,0.0029549598693847656,-0.015620887279510498,0.02035599946975708,reject_convergence
no_aggregators,embedding,scraped_2026,507,1720,0.9566451907157898,0.0029549598693847656,-0.015620887279510498,0.02035599946975708,reject_convergence
no_aggregators,tfidf_svd,arshkon,155,317,0.8822653293609619,-0.053666770458221436,-0.10120999813079834,0.05332595109939575,reject_convergence
no_aggregators,tfidf_svd,asaniczka,182,1316,0.9355912804603577,-0.053666770458221436,-0.10120999813079834,0.05332595109939575,reject_convergence
no_aggregators,tfidf_svd,pooled_2024,337,1633,0.9298085570335388,-0.053666770458221436,-0.10120999813079834,0.05332595109939575,reject_convergence
no_aggregators,tfidf_svd,scraped_2026,507,1720,0.8285985589027405,-0.053666770458221436,-0.10120999813079834,0.05332595109939575,reject_convergence
company_cap50,embedding,arshkon,159,332,0.9553678631782532,0.0030350089073181152,-0.01598978042602539,0.021419048309326172,reject_convergence
company_cap50,embedding,asaniczka,171,1541,0.9767869114875793,0.0030350089073181152,-0.01598978042602539,0.021419048309326172,reject_convergence
company_cap50,embedding,pooled_2024,330,1873,0.9743926525115967,0.0030350089073181152,-0.01598978042602539,0.021419048309326172,reject_convergence
company_cap50,embedding,scraped_2026,553,1890,0.9584028720855713,0.0030350089073181152,-0.01598978042602539,0.021419048309326172,reject_convergence
company_cap50,tfidf_svd,arshkon,159,332,0.8852706551551819,-0.041634440422058105,-0.09162706136703491,0.0577426552772522,reject_convergence
company_cap50,tfidf_svd,asaniczka,171,1541,0.9430133104324341,-0.041634440422058105,-0.09162706136703491,0.0577426552772522,reject_convergence
company_cap50,tfidf_svd,pooled_2024,330,1873,0.9352632761001587,-0.041634440422058105,-0.09162706136703491,0.0577426552772522,reject_convergence
company_cap50,tfidf_svd,scraped_2026,553,1890,0.8436362147331238,-0.041634440422058105,-0.09162706136703491,0.0577426552772522,reject_convergence
recommended_swe_tier,embedding,arshkon,156,308,0.9531550407409668,0.005277097225189209,-0.01450270414352417,0.02169358730316162,reject_convergence
recommended_swe_tier,embedding,asaniczka,180,1483,0.9748486280441284,0.005277097225189209,-0.01450270414352417,0.02169358730316162,reject_convergence
recommended_swe_tier,embedding,pooled_2024,336,1791,0.9729348421096802,0.005277097225189209,-0.01450270414352417,0.02169358730316162,reject_convergence
recommended_swe_tier,embedding,scraped_2026,576,1927,0.958432137966156,0.005277097225189209,-0.01450270414352417,0.02169358730316162,reject_convergence
recommended_swe_tier,tfidf_svd,arshkon,156,308,0.8839173316955566,-0.047704100608825684,-0.09271997213363647,0.04755884408950806,reject_convergence
recommended_swe_tier,tfidf_svd,asaniczka,180,1483,0.9314761757850647,-0.047704100608825684,-0.09271997213363647,0.04755884408950806,reject_convergence
recommended_swe_tier,tfidf_svd,pooled_2024,336,1791,0.9289332032203674,-0.047704100608825684,-0.09271997213363647,0.04755884408950806,reject_convergence
recommended_swe_tier,tfidf_svd,scraped_2026,576,1927,0.836213231086731,-0.047704100608825684,-0.09271997213363647,0.04755884408950806,reject_convergence
