representation,factor,groups,eta_squared
embedding,archetype_name,8,0.11115002720312148
embedding,source_group,3,0.010070019275990856
embedding,year,2,0.007727467878738653
embedding,seniority_3level,4,0.007067405488636666
tfidf_svd,archetype_name,8,0.13231369563317225
tfidf_svd,source_group,3,0.01433505155448134
tfidf_svd,year,2,0.012778644310686245
tfidf_svd,seniority_3level,4,0.007408773207295271
