group,n,n_trimmed,mean_cosine_to_trimmed_centroid,representation
2024_junior,363,327,0.7022320032119751,embedding
2024_mid,39,36,0.6742467880249023,embedding
2024_senior,2000,1800,0.7025250196456909,embedding
2024_unknown,2000,1800,0.6716920137405396,embedding
2026_junior,601,541,0.7211957573890686,embedding
2026_mid,51,46,0.7487905025482178,embedding
2026_senior,2000,1800,0.736567497253418,embedding
2026_unknown,2000,1800,0.7091287970542908,embedding
2024_junior,363,327,0.49214968085289,tfidf_svd
2024_mid,39,36,0.484331339597702,tfidf_svd
2024_senior,2000,1800,0.47137829661369324,tfidf_svd
2024_unknown,2000,1800,0.4481218159198761,tfidf_svd
2026_junior,601,541,0.49563056230545044,tfidf_svd
2026_mid,51,46,0.5203564167022705,tfidf_svd
2026_senior,2000,1800,0.5025944113731384,tfidf_svd
2026_unknown,2000,1800,0.4681102931499481,tfidf_svd
