representation,query_definition,query_n,candidate_n,neighbor_seniority,neighbor_share,candidate_base_share,excess_over_base_pp
embedding,J1,500,8000,junior,0.0992,0.01675,8.245
embedding,J1,500,8000,mid,0.0016,0.002,-0.039999999999999994
embedding,J1,500,8000,senior,0.6068,0.57525,3.1549999999999967
embedding,J1,500,8000,unknown,0.2924,0.406,-11.360000000000003
embedding,J2,500,8000,junior,0.0928,0.01675,7.6049999999999995
embedding,J2,500,8000,mid,0.0016,0.002,-0.039999999999999994
embedding,J2,500,8000,senior,0.6172,0.57525,4.194999999999993
embedding,J2,500,8000,unknown,0.2884,0.406,-11.760000000000003
embedding,J3,500,8000,junior,0.0104,0.01675,-0.6350000000000001
embedding,J3,500,8000,mid,0.0008,0.002,-0.12000000000000001
embedding,J3,500,8000,senior,0.6988,0.57525,12.354999999999993
embedding,J3,500,8000,unknown,0.29,0.406,-11.600000000000005
embedding,J4,500,8000,junior,0.0072,0.01675,-0.9550000000000001
embedding,J4,500,8000,mid,0.0028,0.002,0.07999999999999999
embedding,J4,500,8000,senior,0.7008,0.57525,12.554999999999994
embedding,J4,500,8000,unknown,0.2892,0.406,-11.680000000000001
tfidf,J1,500,8000,junior,0.0868,0.01675,7.005
tfidf,J1,500,8000,mid,0.0024,0.002,0.03999999999999997
tfidf,J1,500,8000,senior,0.4892,0.57525,-8.605000000000002
tfidf,J1,500,8000,unknown,0.4216,0.406,1.5599999999999947
tfidf,J2,500,8000,junior,0.082,0.01675,6.525
tfidf,J2,500,8000,mid,0.0028,0.002,0.07999999999999999
tfidf,J2,500,8000,senior,0.5028,0.57525,-7.245000000000001
tfidf,J2,500,8000,unknown,0.4124,0.406,0.6399999999999961
tfidf,J3,500,8000,junior,0.0136,0.01675,-0.31500000000000017
tfidf,J3,500,8000,mid,0.0028,0.002,0.07999999999999999
tfidf,J3,500,8000,senior,0.6212,0.57525,4.5949999999999935
tfidf,J3,500,8000,unknown,0.3624,0.406,-4.360000000000003
tfidf,J4,500,8000,junior,0.0132,0.01675,-0.3550000000000001
tfidf,J4,500,8000,mid,0.0032,0.002,0.12000000000000001
tfidf,J4,500,8000,senior,0.5788,0.57525,0.3549999999999942
tfidf,J4,500,8000,unknown,0.4048,0.406,-0.12000000000000344
