cap,period,seniority_cut,n,requirement_breadth_mean,requirement_breadth_resid_mean,credential_stack_depth_mean,tech_count_mean,ai_binary_mean,description_cleaned_length_mean
20,pooled_2024,all,15058,10.0638,-0.8273,3.9834,5.2736,0.0104,2237.5304
20,pooled_2024,J3,1154,9.6153,-1.7292,4.2071,4.6447,0.0147,2389.9203
20,pooled_2024,S4,8307,10.9357,-0.4495,4.4003,5.5742,0.01,2450.4252
20,scraped_2026,all,27822,13.2884,0.703,4.1618,7.5719,0.1536,3459.6687
20,scraped_2026,J3,1525,12.4754,0.5264,4.7036,6.7095,0.1351,2677.9443
20,scraped_2026,S4,7915,14.5266,2.4454,4.8475,8.0855,0.1467,2856.5265
50,pooled_2024,all,17733,10.0009,-0.8222,3.9595,5.2926,0.0098,2208.6169
50,pooled_2024,J3,1324,9.6918,-1.5728,4.2047,4.744,0.0151,2350.8512
50,pooled_2024,S4,9797,10.8757,-0.4455,4.3778,5.6045,0.0092,2421.0089
50,scraped_2026,all,33243,13.2814,0.6481,4.1757,7.5672,0.1487,3500.5129
50,scraped_2026,J3,1858,12.5135,0.5895,4.7115,6.782,0.1308,2646.3122
50,scraped_2026,S4,9478,14.5071,2.4113,4.8619,8.0768,0.145,2862.952
