period,metric,pearson_r
pooled_2024,requirement_breadth,0.405
pooled_2024,credential_stack_depth,0.5443
pooled_2024,tech_count,0.1166
pooled_2024,soft_skill_count,0.5004
pooled_2024,scope_count,0.3944
pooled_2024,mgmt_broad_count,0.4209
scraped_2026,requirement_breadth,0.3919
scraped_2026,credential_stack_depth,0.2863
scraped_2026,tech_count,0.1868
scraped_2026,soft_skill_count,0.5007
scraped_2026,scope_count,0.3661
scraped_2026,mgmt_broad_count,0.3773
all,requirement_breadth,0.4314
all,credential_stack_depth,0.3423
all,tech_count,0.2171
all,soft_skill_count,0.5074
all,scope_count,0.4165
all,mgmt_broad_count,0.3875
