period,tier,term,n_postings,share_of_postings
arshkon_2024,strong,mentor,811,0.1729
arshkon_2024,strong,eng_manager,64,0.0136
arshkon_2024,strong,performance_review,37,0.0079
arshkon_2024,strong,manage_people,25,0.0053
arshkon_2024,strong,direct_reports,6,0.0013
arshkon_2024,strong,hire,2,0.0004
arshkon_2024,broad_extra,stakeholder,826,0.1761
arshkon_2024,broad_extra,lead,472,0.1006
arshkon_2024,broad_extra,coordinate,430,0.0917
arshkon_2024,broad_extra,team,19,0.0041
asaniczka_2024,strong,mentor,4030,0.2223
asaniczka_2024,strong,eng_manager,427,0.0236
asaniczka_2024,strong,performance_review,177,0.0098
asaniczka_2024,strong,manage_people,105,0.0058
asaniczka_2024,strong,direct_reports,78,0.0043
asaniczka_2024,strong,hire,28,0.0015
asaniczka_2024,broad_extra,stakeholder,3108,0.1714
asaniczka_2024,broad_extra,lead,2595,0.1431
asaniczka_2024,broad_extra,coordinate,2556,0.141
asaniczka_2024,broad_extra,team,57,0.0031
pooled_2024,strong,mentor,4841,0.2121
pooled_2024,strong,eng_manager,491,0.0215
pooled_2024,strong,performance_review,214,0.0094
pooled_2024,strong,manage_people,130,0.0057
pooled_2024,strong,direct_reports,84,0.0037
pooled_2024,strong,hire,30,0.0013
pooled_2024,broad_extra,stakeholder,3934,0.1724
pooled_2024,broad_extra,lead,3067,0.1344
pooled_2024,broad_extra,coordinate,2986,0.1309
pooled_2024,broad_extra,team,76,0.0033
scraped_2026,strong,mentor,12631,0.2787
scraped_2026,strong,performance_review,751,0.0166
scraped_2026,strong,eng_manager,550,0.0121
scraped_2026,strong,hire,305,0.0067
scraped_2026,strong,manage_people,163,0.0036
scraped_2026,strong,direct_reports,137,0.003
scraped_2026,broad_extra,stakeholder,11751,0.2593
scraped_2026,broad_extra,lead,7304,0.1612
scraped_2026,broad_extra,coordinate,5742,0.1267
scraped_2026,broad_extra,team,125,0.0028
