period,seniority_cut,n,share_depth_ge_1,share_depth_ge_2,share_depth_ge_3,share_depth_ge_4,share_depth_ge_5,share_depth_ge_6,share_depth_ge_7,mean_depth
pooled_2024,all,22820,0.9918,0.9463,0.8426,0.6645,0.4211,0.1609,0.0016,4.0288
pooled_2024,J3,1666,1.0,0.9982,0.9328,0.7443,0.4292,0.1765,0.0048,4.2857
pooled_2024,J4,3874,1.0,0.9959,0.9293,0.7504,0.4491,0.1748,0.0028,4.3023
pooled_2024,S4,12884,1.0,0.9936,0.9235,0.7658,0.5254,0.211,0.0019,4.4212
pooled_2024,S5,6512,1.0,0.9932,0.9117,0.7436,0.5197,0.2257,0.0015,4.3954
arshkon_2024,all,4691,0.9896,0.9258,0.7757,0.5798,0.3464,0.1379,0.0034,3.7587
arshkon_2024,J3,449,1.0,0.9955,0.9109,0.7149,0.4076,0.1559,0.0111,4.196
arshkon_2024,J4,941,1.0,0.9968,0.899,0.7109,0.4198,0.1605,0.0053,4.1923
arshkon_2024,S4,2246,1.0,0.9889,0.8727,0.6919,0.4595,0.2012,0.0045,4.2186
arshkon_2024,S5,1087,1.0,0.988,0.8464,0.655,0.4259,0.2052,0.0037,4.1242
scraped_2026,all,45317,0.9972,0.9716,0.8957,0.7295,0.4494,0.1675,0.02,4.2309
scraped_2026,J3,2889,1.0,0.999,0.9778,0.8716,0.5978,0.2762,0.0353,4.7577
scraped_2026,J4,5880,1.0,0.9986,0.973,0.8611,0.5896,0.2781,0.0342,4.7345
scraped_2026,S4,12870,1.0,0.9988,0.966,0.8616,0.6581,0.3433,0.0473,4.8752
scraped_2026,S5,5915,1.0,0.9986,0.9611,0.8617,0.6801,0.3675,0.0534,4.9226
