section,stat,arshkon,asaniczka,scraped,pooled_2024,within_2024,cross_pooled,cross_arshkon,noise_floor_used,snr_pooled,snr_arshkon,verdict
role_summary,mean_chars,378.1202876984127,311.90823943661974,570.5188414412629,326.5510092145678,66.21204826179297,243.96783222669512,192.3985537428502,66.21204826179297,3.6846440886722185,2.905793715701617,above_noise
role_summary,median_chars,0.0,11.0,308.0,0.0,-11.0,308.0,308.0,11.0,28.0,28.0,above_noise
role_summary,mean_share,0.11739352491717715,0.08785155169772518,0.1188593577650202,0.09438474805691947,0.02954197321945197,0.024474609708100725,0.001465832847843046,0.02954197321945197,0.8284690235920115,0.04961865062141027,below_noise
responsibilities,mean_chars,633.3142361111111,561.0757042253521,964.2456818256878,577.0512286090391,72.23853188575902,387.19445321664875,330.93144571457674,72.23853188575902,5.3599435524101455,4.581093179439545,above_noise
responsibilities,median_chars,203.0,356.0,807.0,339.0,-153.0,468.0,604.0,153.0,3.0588235294117645,3.947712418300654,above_noise
responsibilities,mean_share,0.18758812879858872,0.1505412410688058,0.19824855575592132,0.15873414647284728,0.03704688772978293,0.03951440928307404,0.010660426957332603,0.03704688772978293,1.0666053669957114,0.28775499402510984,marginal
requirements,mean_chars,903.1654265873016,1423.5545774647887,1059.1281085901119,1308.470710838087,-520.3891508774872,-249.34260224797504,155.9626820028103,520.3891508774872,0.4791464269144163,0.29970394605618494,below_noise
requirements,median_chars,671.0,1196.5,863.0,1095.5,-525.5,-232.5,192.0,525.5,0.4424357754519505,0.3653663177925785,below_noise
requirements,mean_share,0.3002736203211149,0.39990449294180624,0.2328612655609292,0.37787116262112674,-0.09963087262069137,-0.14500989706019754,-0.06741235476018567,0.09963087262069137,1.4554715144598849,0.6766211414892843,marginal
preferred,mean_chars,139.6798115079365,139.9712676056338,352.71339872518905,139.9068121983326,-0.2914560976973064,212.80658652685645,213.03358721725255,6.995340609916631,30.4211901026207,30.453640372458068,above_noise
preferred,median_chars,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,below_noise
preferred,mean_share,0.046902342793983885,0.04113576141909091,0.06928254393760881,0.042411038739383164,0.0057665813748929776,0.026871505198225648,0.022380201143624927,0.0057665813748929776,4.659867510969505,3.881017137998904,above_noise
benefits,mean_chars,457.0721726190476,459.8945774647887,856.96433171505,459.2704036858271,-2.8224048457411186,397.6939280292229,399.8921590960024,22.963520184291355,17.318508871356457,17.414235965858424,above_noise
benefits,median_chars,0.0,94.0,596.0,50.5,-94.0,545.5,596.0,94.0,5.803191489361702,6.340425531914893,above_noise
benefits,mean_share,0.09992646793468629,0.09898650082677035,0.15132525044431994,0.09919437420210586,0.00093996710791594,0.052130876242214075,0.051398782509633645,0.004959718710105293,10.510853394971537,10.363245481020932,above_noise
about_company,mean_chars,147.26636904761904,145.69683098591548,249.78030978566002,146.04393374286968,1.569538061703554,103.73637604279034,102.51394073804099,7.302196687143485,14.206187601798293,14.03878108604371,above_noise
about_company,median_chars,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,below_noise
about_company,mean_share,0.04008718803659168,0.03554823464153956,0.04613282381562802,0.03655202249195916,0.004538953395052114,0.009580801323668862,0.006045635779036343,0.004538953395052114,2.1107952626508206,1.3319448896802188,above_noise
legal,mean_chars,245.93551587301587,280.8020422535211,376.8691172099475,273.0913229486617,-34.866526380505235,103.7777942612858,130.93360133693162,34.866526380505235,2.9764305491386898,3.755280922109291,above_noise
legal,median_chars,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,below_noise
legal,mean_share,0.04864653847415715,0.05933487666447721,0.06426607217531717,0.05697115466012385,-0.010688338190320064,0.0072949175151933235,0.015619533701160024,0.010688338190320064,0.6825118540691382,1.461362227039739,marginal
unclassified,mean_chars,405.6277281746032,383.01669014084507,503.91251362330325,388.01711276875824,22.61103803375812,115.89540085454502,98.28478544870006,22.61103803375812,5.125611689366671,4.34676131639607,above_noise
unclassified,median_chars,83.0,142.0,213.0,129.0,-59.0,84.0,130.0,59.0,1.423728813559322,2.2033898305084745,above_noise
unclassified,mean_share,0.15918218872370027,0.1266973407397848,0.11902413054525542,0.1338813527555344,0.03248484798391546,-0.014857222210278978,-0.04015805817844485,0.03248484798391546,0.4573585265855447,1.236208899556147,marginal
