source,seniority_final,n,pct
kaggle_arshkon,unknown,2423,54.6
kaggle_arshkon,mid-senior,1851,41.71
kaggle_arshkon,entry,89,2.01
kaggle_arshkon,associate,65,1.46
kaggle_arshkon,director,10,0.23
kaggle_asaniczka,mid-senior,14918,68.98
kaggle_asaniczka,unknown,6340,29.32
kaggle_asaniczka,associate,158,0.73
kaggle_asaniczka,entry,124,0.57
kaggle_asaniczka,director,86,0.4
scraped,mid-senior,2116,50.15
scraped,unknown,1883,44.63
scraped,entry,132,3.13
scraped,associate,67,1.59
scraped,director,21,0.5
