column,source,platform,subset,total_rows,nonnull_count,nonnull_pct
uid,kaggle_arshkon,linkedin,all,118165,118165,100.0
job_id,kaggle_arshkon,linkedin,all,118165,118165,100.0
source,kaggle_arshkon,linkedin,all,118165,118165,100.0
source_platform,kaggle_arshkon,linkedin,all,118165,118165,100.0
site,kaggle_arshkon,linkedin,all,118165,118165,100.0
title,kaggle_arshkon,linkedin,all,118165,118165,100.0
title_normalized,kaggle_arshkon,linkedin,all,118165,118154,99.99
company_name,kaggle_arshkon,linkedin,all,118165,116482,98.58
company_name_normalized,kaggle_arshkon,linkedin,all,118165,116482,98.58
location,kaggle_arshkon,linkedin,all,118165,118165,100.0
location_normalized,kaggle_arshkon,linkedin,all,118165,118165,100.0
date_posted,kaggle_arshkon,linkedin,all,118165,118165,100.0
scrape_date,kaggle_arshkon,linkedin,all,118165,0,0.0
description,kaggle_arshkon,linkedin,all,118165,118165,100.0
description_raw,kaggle_arshkon,linkedin,all,118165,118165,100.0
description_length,kaggle_arshkon,linkedin,all,118165,118165,100.0
seniority_raw,kaggle_arshkon,linkedin,all,118165,89508,75.75
seniority_native,kaggle_arshkon,linkedin,all,118165,89508,75.75
company_industry,kaggle_arshkon,linkedin,all,118165,116664,98.73
company_size,kaggle_arshkon,linkedin,all,118165,116483,98.58
company_size_raw,kaggle_arshkon,linkedin,all,118165,116483,98.58
company_size_category,kaggle_arshkon,linkedin,all,118165,111808,94.62
search_query,kaggle_arshkon,linkedin,all,118165,0,0.0
query_tier,kaggle_arshkon,linkedin,all,118165,0,0.0
search_metro_id,kaggle_arshkon,linkedin,all,118165,0,0.0
search_metro_name,kaggle_arshkon,linkedin,all,118165,0,0.0
search_metro_region,kaggle_arshkon,linkedin,all,118165,0,0.0
search_location,kaggle_arshkon,linkedin,all,118165,0,0.0
work_type,kaggle_arshkon,linkedin,all,118165,118165,100.0
is_remote,kaggle_arshkon,linkedin,all,118165,118165,100.0
job_url,kaggle_arshkon,linkedin,all,118165,118165,100.0
skills_raw,kaggle_arshkon,linkedin,all,118165,2157,1.83
asaniczka_skills,kaggle_arshkon,linkedin,all,118165,0,0.0
company_id_kaggle,kaggle_arshkon,linkedin,all,118165,116484,98.58
posting_age_days,kaggle_arshkon,linkedin,all,118165,0,0.0
is_aggregator,kaggle_arshkon,linkedin,all,118165,118165,100.0
real_employer,kaggle_arshkon,linkedin,all,118165,322,0.27
