source,subset,field,total_rows,usable_rows,usable_pct
kaggle_arshkon,all,seniority_final,118165,33569,28.41
kaggle_arshkon,all,seniority_native,118165,89508,75.75
kaggle_arshkon,all,seniority_3level,118165,33569,28.41
kaggle_arshkon,all,description,118165,118165,100.0
kaggle_arshkon,all,description_core,118165,118165,100.0
kaggle_arshkon,all,title_normalized,118165,118154,99.99
kaggle_arshkon,all,company_name_effective,118165,116482,98.58
kaggle_arshkon,all,company_industry,118165,116664,98.73
kaggle_arshkon,all,company_size,118165,116483,98.58
kaggle_arshkon,all,metro_area,118165,70292,59.49
kaggle_arshkon,all,state_normalized,118165,104692,88.6
kaggle_arshkon,all,is_remote_inferred,118165,118165,100.0
kaggle_arshkon,all,skills_raw,118165,2157,1.83
kaggle_arshkon,all,yoe_extracted,118165,24489,20.72
kaggle_arshkon,all,work_type,118165,118165,100.0
kaggle_arshkon,swe,seniority_final,4438,2015,45.4
kaggle_arshkon,swe,seniority_native,4438,3099,69.83
kaggle_arshkon,swe,seniority_3level,4438,2015,45.4
kaggle_arshkon,swe,description,4438,4438,100.0
kaggle_arshkon,swe,description_core,4438,4438,100.0
kaggle_arshkon,swe,title_normalized,4438,4438,100.0
kaggle_arshkon,swe,company_name_effective,4438,4398,99.1
kaggle_arshkon,swe,company_industry,4438,4404,99.23
kaggle_arshkon,swe,company_size,4438,4398,99.1
kaggle_arshkon,swe,metro_area,4438,2929,66.0
kaggle_arshkon,swe,state_normalized,4438,3395,76.5
kaggle_arshkon,swe,is_remote_inferred,4438,4438,100.0
kaggle_arshkon,swe,skills_raw,4438,58,1.31
kaggle_arshkon,swe,yoe_extracted,4438,1753,39.5
kaggle_arshkon,swe,work_type,4438,4438,100.0
kaggle_asaniczka,all,seniority_final,1014752,271461,26.75
kaggle_asaniczka,all,seniority_native,1014752,1014752,100.0
kaggle_asaniczka,all,seniority_3level,1014752,271461,26.75
kaggle_asaniczka,all,description,1014752,1014752,100.0
kaggle_asaniczka,all,description_core,1014752,1014752,100.0
kaggle_asaniczka,all,title_normalized,1014752,1014717,100.0
kaggle_asaniczka,all,company_name_effective,1014752,1014746,100.0
kaggle_asaniczka,all,company_industry,1014752,0,0.0
kaggle_asaniczka,all,company_size,1014752,0,0.0
kaggle_asaniczka,all,metro_area,1014752,598574,58.99
kaggle_asaniczka,all,state_normalized,1014752,995596,98.11
kaggle_asaniczka,all,is_remote_inferred,1014752,1014752,100.0
kaggle_asaniczka,all,skills_raw,1014752,1012353,99.76
kaggle_asaniczka,all,yoe_extracted,1014752,137609,13.56
kaggle_asaniczka,all,work_type,1014752,0,0.0
kaggle_asaniczka,swe,seniority_final,21626,15286,70.68
kaggle_asaniczka,swe,seniority_native,21626,21626,100.0
kaggle_asaniczka,swe,seniority_3level,21626,15286,70.68
kaggle_asaniczka,swe,description,21626,21626,100.0
kaggle_asaniczka,swe,description_core,21626,21626,100.0
kaggle_asaniczka,swe,title_normalized,21626,21626,100.0
kaggle_asaniczka,swe,company_name_effective,21626,21626,100.0
kaggle_asaniczka,swe,company_industry,21626,0,0.0
kaggle_asaniczka,swe,company_size,21626,0,0.0
kaggle_asaniczka,swe,metro_area,21626,16262,75.2
kaggle_asaniczka,swe,state_normalized,21626,21042,97.3
kaggle_asaniczka,swe,is_remote_inferred,21626,21626,100.0
kaggle_asaniczka,swe,skills_raw,21626,21606,99.91
kaggle_asaniczka,swe,yoe_extracted,21626,7387,34.16
kaggle_asaniczka,swe,work_type,21626,0,0.0
scraped,all,seniority_final,26576,13609,51.21
scraped,all,seniority_native,26576,22706,85.44
scraped,all,seniority_3level,26576,13609,51.21
scraped,all,description,26576,26576,100.0
scraped,all,description_core,26576,26576,100.0
scraped,all,title_normalized,26576,26574,99.99
scraped,all,company_name_effective,26576,26576,100.0
scraped,all,company_industry,26576,26572,99.98
scraped,all,company_size,26576,0,0.0
scraped,all,metro_area,26576,21941,82.56
scraped,all,state_normalized,26576,25546,96.12
scraped,all,is_remote_inferred,26576,26576,100.0
scraped,all,skills_raw,26576,0,0.0
scraped,all,yoe_extracted,26576,4101,15.43
scraped,all,work_type,26576,26576,100.0
scraped,swe,seniority_final,4219,2336,55.37
scraped,swe,seniority_native,4219,3519,83.41
scraped,swe,seniority_3level,4219,2336,55.37
scraped,swe,description,4219,4219,100.0
scraped,swe,description_core,4219,4219,100.0
scraped,swe,title_normalized,4219,4219,100.0
scraped,swe,company_name_effective,4219,4219,100.0
scraped,swe,company_industry,4219,4218,99.98
scraped,swe,company_size,4219,0,0.0
scraped,swe,metro_area,4219,3178,75.33
scraped,swe,state_normalized,4219,4004,94.9
scraped,swe,is_remote_inferred,4219,4219,100.0
scraped,swe,skills_raw,4219,0,0.0
scraped,swe,yoe_extracted,4219,690,16.35
scraped,swe,work_type,4219,4219,100.0
