source,entry_n,entry_with_yoe_n,entry_with_metro_n,entry_with_llm_text_n,entry_with_core_text_n
kaggle_arshkon,175,65,109,175,174
kaggle_asaniczka,158,77,118,149,149
scraped,1042,219,696,285,281
