asaniczka_group,arshkon_group,asaniczka_unique_titles,arshkon_unique_titles,shared_titles,asaniczka_shared_rate,arshkon_shared_rate,jaccard
associate,entry,1000,434,88,0.088,0.20276497695852536,0.06537890044576523
associate,associate,1000,183,54,0.054,0.29508196721311475,0.047829937998228524
associate,mid-senior,1000,1079,141,0.141,0.13067655236329936,0.07275541795665634
