source,seniority_native,n
kaggle_arshkon,mid-senior,2231
kaggle_arshkon,,1408
kaggle_arshkon,entry,738
kaggle_arshkon,associate,263
kaggle_arshkon,director,20
kaggle_arshkon,intern,20
kaggle_arshkon,executive,11
kaggle_asaniczka,mid-senior,16309
kaggle_asaniczka,associate,1820
scraped,mid-senior,25052
scraped,,5671
scraped,entry,4256
scraped,associate,1269
scraped,intern,590
scraped,director,254
scraped,executive,60
