period,seniority,n,flesch_kincaid_grade,flesch_reading_ease,gunning_fog,avg_sentence_length,sentence_length_sd,type_token_ratio,syllable_count,lexicon_count,raw_length
2024,all,22707,21.51771250448724,-1.5248793489064305,25.03181029300224,41.08355887396831,29.146462669841927,0.6828347391361583,626.8621130048003,300.56718192627824,2239.1484564231296
2024,J3_yoe_le2,1661,21.384765890284935,-1.678896397179269,24.94584248012663,40.392962852992895,28.74471540264192,0.6784348634939965,667.4665863937387,319.94521372667066,2378.1854304635763
2024,S4_yoe_ge5,12855,21.960288759958747,-3.0332740133339997,25.55241969779569,41.71522476343203,31.2667891763447,0.6779142985770048,682.1951769739401,325.91489692726566,2432.8164138467523
2024,J1_entry_label,414,20.949137004105438,0.20521475285533572,24.2405603774543,41.649909009674474,28.36055014778811,0.690810790397691,533.5458937198067,257.9492753623188,1911.3212560386473
2024,S1_midsenior_label,13510,21.777192764128536,-1.8523495334969626,25.322202308443728,40.87247611320717,30.75939070187479,0.6795728519366538,668.501258327165,321.26136195410805,2386.258549222798
2026,all,25492,22.194305306518775,-3.840266031062275,25.768139850109886,41.13703658948361,31.230345231130904,0.6917621143539066,712.1216852345834,340.7072414875255,2624.507767142633
2026,J3_yoe_le2,2879,20.62385789372184,0.9556810963654938,24.151591243235337,36.388674626483535,28.806505967305817,0.6826776327515682,728.6509204584926,351.36679402570337,2668.448072247308
2026,S4_yoe_ge5,12799,22.632866842808042,-5.527044609296883,26.28972169065324,42.276328924002065,33.46055658022594,0.6903845007468459,763.1645441050082,363.3307289632003,2813.0702398624894
2026,J1_entry_label,1180,20.198378430451527,3.6626133700788843,23.543753018703985,35.943340332251395,27.47418709821926,0.6962010000824286,617.8474576271186,302.64406779661016,2282.6542372881354
2026,S1_midsenior_label,11932,22.270177903862955,-4.051476849482936,25.863680160833315,41.167436074361405,33.42577737466657,0.690362858496981,774.3937311431445,370.3169627891385,2855.1720583305396
