source,total_n,swe_n,swe_adjacent_n,control_n,unclassified_n
kaggle_arshkon,110360,4691.0,2396.0,8614.0,94659.0
kaggle_asaniczka,847526,18129.0,9420.0,105341.0,714636.0
scraped,228395,37152.0,10463.0,37312.0,143468.0
