definition,side,period,source,n_of_all,n_of_known,share_of_all,share_of_known
J1,junior,2024,arshkon,175,175,0.03730547857599659,0.07719453021614468
J1,junior,2024,pooled_2024,379,379,0.01660823838737949,0.027046314136872904
J1,junior,2026,scraped_2026,1275,1275,0.031188082483305204,0.06696428571428571
J1,junior,2024,asaniczka,204,204,0.01125268906172431,0.017367614507066236
J2,junior,2024,arshkon,190,190,0.04050309102536773,0.08381120423467137
J2,junior,2026,scraped_2026,1327,1327,0.03246006702380079,0.0696953781512605
J2,junior,2024,asaniczka,228,228,0.012576534833691875,0.01941086327260344
J2,junior,2024,pooled_2024,418,418,0.01831726555652936,0.02982944408763291
J3,junior,2024,arshkon,436,436,0.09294393519505435,0.14977670903469598
J3,junior,2026,scraped_2026,4742,4742,0.11599520559673197,0.17192995177839818
J3,junior,2024,asaniczka,1330,1330,0.0733631198632026,0.10363098020882032
J3,junior,2024,pooled_2024,1766,1766,0.07738825591586328,0.11216259129882503
J4,junior,2024,arshkon,907,907,0.19334896610530802,0.3115767777396084
J4,junior,2026,scraped_2026,9307,9307,0.2276607715075463,0.33744244226097675
J4,junior,2024,asaniczka,3128,3128,0.17254123227977275,0.24372759856630824
J4,junior,2024,pooled_2024,4035,4035,0.17681858019281332,0.2562718323277231
S1,senior,2024,arshkon,2077,2077,0.44276273715625664,0.9161887957653286
S1,senior,2026,scraped_2026,17713,17713,0.43328196472689023,0.9303046218487395
S1,senior,2024,asaniczka,11518,11518,0.6353356500634343,0.9805891367273966
S1,senior,2024,pooled_2024,13595,13595,0.595749342681858,0.9701705559123671
S2,senior,2024,arshkon,13,13,0.002771264122788318,0.005734450816056462
S2,senior,2026,scraped_2026,295,295,0.007216066143196106,0.015493697478991597
S2,senior,2024,asaniczka,92,92,0.0050747421258756685,0.007832453601225949
S2,senior,2024,pooled_2024,105,105,0.004601226993865031,0.0074930421751231
S3,senior,2024,arshkon,82,82,0.017480281389895543,0.017480281389895543
S3,senior,2024,asaniczka,364,364,0.02007832754150808,0.02007832754150808
S3,senior,2026,scraped_2026,150,150,0.0036691861745064944,0.0036691861745064944
S3,senior,2024,pooled_2024,446,446,0.019544259421560035,0.019544259421560035
S4,senior,2024,arshkon,1751,1751,0.3732679599232573,0.6015115080728272
S4,senior,2026,scraped_2026,15938,15938,0.3898632616618967,0.5778615713715964
S4,senior,2024,pooled_2024,10279,10279,0.4504382120946538,0.6528421721181328
S4,senior,2024,asaniczka,8528,8528,0.47040653097247503,0.6644849618201651
all_swe,all,2024,arshkon,4691,4691,1.0,1.0
all_swe,all,2024,asaniczka,18129,18129,1.0,1.0
all_swe,all,2024,pooled_2024,22820,22820,1.0,1.0
all_swe,all,2026,scraped_2026,40881,40881,1.0,1.0
