state,oews_15_1252_employment,oews_15_1253_substitute_employment,oews_combined_employment,our_all_linkedin_swe,our_scraped_2026_swe,our_arshkon_swe,our_asaniczka_swe
AK,430,0,430,8,0,1,7
AL,18020,1910,19930,208,0,17,191
AR,6390,0,6390,142,0,13,129
AZ,35650,3680,39330,1263,837,85,341
CA,292630,31530,324160,11207,8056,562,2589
CO,48980,5580,54560,1567,989,81,497
CT,16490,1200,17690,362,100,27,235
DC,8250,750,9000,662,438,30,194
DE,3850,700,4550,352,236,15,101
FL,82610,12080,94690,1665,753,135,777
GA,47350,7830,55180,1937,1255,150,532
HI,1940,210,2150,32,0,0,32
IA,9840,1080,10920,190,0,15,175
ID,4960,490,5450,45,0,13,32
IL,54490,6800,61290,2012,1225,156,631
IN,12690,1630,14320,229,9,31,189
KS,15850,1320,17170,117,20,17,80
KY,7070,1140,8210,71,0,14,57
LA,3870,540,4410,60,0,4,56
MA,54260,7650,61910,2523,1733,115,675
MD,31940,6340,38280,2491,1459,74,958
ME,2740,390,3130,54,0,11,43
MI,41490,3500,44990,1213,697,85,431
MN,39580,2930,42510,978,690,59,229
MO,17060,2400,19460,271,10,26,235
MS,3200,460,3660,43,0,6,37
MT,2070,260,2330,16,0,3,13
NC,57590,7280,64870,2473,1853,140,480
ND,1510,470,1980,8,0,3,5
NE,8940,1680,10620,82,0,11,71
NH,8010,610,8620,346,228,17,101
NJ,57120,6930,64050,2151,1409,148,594
NM,4810,400,5210,73,0,11,62
NV,4640,680,5320,106,0,19,87
NY,104130,11140,115270,3686,2681,235,770
OH,44280,4000,48280,1129,553,104,472
OK,7150,1720,8870,103,0,10,93
OR,21100,3010,24110,302,176,12,114
PA,47350,5690,53040,1721,1032,126,563
RI,6010,440,6450,163,80,10,73
SC,12230,1320,13550,156,28,10,118
SD,2190,350,2540,14,0,0,14
TN,18750,2290,21040,448,252,23,173
TX,151460,19300,170760,5893,4245,430,1218
UT,29160,4300,33460,269,0,17,252
VA,83290,9880,93170,3289,2067,215,1007
VT,0,130,130,12,0,0,12
WA,91470,9220,100690,3308,2502,179,627
WI,22170,3820,25990,261,7,45,209
WV,2280,260,2540,27,4,6,17
WY,1020,0,1020,2,0,0,2
