state,state_name,soc,occupation_code,series_id,employment
AL,Alabama,15-1252,151252,OEUS010000000000015125201,18020
AL,Alabama,15-1253_substitute_for_requested_15-1256,151253,OEUS010000000000015125301,1910
AK,Alaska,15-1252,151252,OEUS020000000000015125201,430
AK,Alaska,15-1253_substitute_for_requested_15-1256,151253,OEUS020000000000015125301,
AZ,Arizona,15-1252,151252,OEUS040000000000015125201,35650
AZ,Arizona,15-1253_substitute_for_requested_15-1256,151253,OEUS040000000000015125301,3680
AR,Arkansas,15-1252,151252,OEUS050000000000015125201,6390
AR,Arkansas,15-1253_substitute_for_requested_15-1256,151253,OEUS050000000000015125301,
CA,California,15-1252,151252,OEUS060000000000015125201,292630
CA,California,15-1253_substitute_for_requested_15-1256,151253,OEUS060000000000015125301,31530
CO,Colorado,15-1252,151252,OEUS080000000000015125201,48980
CO,Colorado,15-1253_substitute_for_requested_15-1256,151253,OEUS080000000000015125301,5580
CT,Connecticut,15-1252,151252,OEUS090000000000015125201,16490
CT,Connecticut,15-1253_substitute_for_requested_15-1256,151253,OEUS090000000000015125301,1200
DE,Delaware,15-1252,151252,OEUS100000000000015125201,3850
DE,Delaware,15-1253_substitute_for_requested_15-1256,151253,OEUS100000000000015125301,700
DC,District of Columbia,15-1252,151252,OEUS110000000000015125201,8250
DC,District of Columbia,15-1253_substitute_for_requested_15-1256,151253,OEUS110000000000015125301,750
FL,Florida,15-1252,151252,OEUS120000000000015125201,82610
FL,Florida,15-1253_substitute_for_requested_15-1256,151253,OEUS120000000000015125301,12080
GA,Georgia,15-1252,151252,OEUS130000000000015125201,47350
GA,Georgia,15-1253_substitute_for_requested_15-1256,151253,OEUS130000000000015125301,7830
HI,Hawaii,15-1252,151252,OEUS150000000000015125201,1940
HI,Hawaii,15-1253_substitute_for_requested_15-1256,151253,OEUS150000000000015125301,210
ID,Idaho,15-1252,151252,OEUS160000000000015125201,4960
ID,Idaho,15-1253_substitute_for_requested_15-1256,151253,OEUS160000000000015125301,490
IL,Illinois,15-1252,151252,OEUS170000000000015125201,54490
IL,Illinois,15-1253_substitute_for_requested_15-1256,151253,OEUS170000000000015125301,6800
IN,Indiana,15-1252,151252,OEUS180000000000015125201,12690
IN,Indiana,15-1253_substitute_for_requested_15-1256,151253,OEUS180000000000015125301,1630
IA,Iowa,15-1252,151252,OEUS190000000000015125201,9840
IA,Iowa,15-1253_substitute_for_requested_15-1256,151253,OEUS190000000000015125301,1080
KS,Kansas,15-1252,151252,OEUS200000000000015125201,15850
KS,Kansas,15-1253_substitute_for_requested_15-1256,151253,OEUS200000000000015125301,1320
KY,Kentucky,15-1252,151252,OEUS210000000000015125201,7070
KY,Kentucky,15-1253_substitute_for_requested_15-1256,151253,OEUS210000000000015125301,1140
LA,Louisiana,15-1252,151252,OEUS220000000000015125201,3870
LA,Louisiana,15-1253_substitute_for_requested_15-1256,151253,OEUS220000000000015125301,540
ME,Maine,15-1252,151252,OEUS230000000000015125201,2740
